address	name	area	provenance	source	profile	compiler	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations
0x001996a0	gsPipe_dtor_A	gslib	current-recovered	src/ps2/gspipe_recovered.c	deep-o2-inline	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/deep__src_ps2_gspipe_recovered.c__ee-gcc-3.2.2-stage1-3.2.2__deep-o2-inline.o	gsPipe_dtor_001996a0	48	exact-next-boundary	MATCH	0	False	True	
0x001996d0	gsPipe_dtor_B	gslib	current-recovered	src/ps2/gspipe_recovered.c	deep-o2-inline	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/deep__src_ps2_gspipe_recovered.c__ee-gcc-3.2.2-stage1-3.2.2__deep-o2-inline.o	gsPipe_dtor_001996d0	48	exact-next-boundary	MATCH	0	False	True	
0x0019e474	heap_mem_fit	libkernel	current-recovered	src/ps2/libkernel_heap_recovered.c	deep-o2-inline	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/deep__src_ps2_libkernel_heap_recovered.c__ee-gcc-3.2.2-stage1-3.2.2__deep-o2-inline.o	heap_mem_fit_0019e474	64	exact-next-boundary	MATCH	0	True	True	
0x0019fb78	DisableDmac	libkernel	historical-per-object	ps2sdk/ee/kernel/src/glue.c:F_DisableDmac	pobj-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/pobj__kernel-glue__DisableDmac__ee-gcc-3.2.2-stage1-3.2.2__pobj-o2.o	DisableDmac	120	exact-next-boundary	MATCH	0	False	True	
0x001a0740	mcGetInfoApdx	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcGetInfoApdx	136	exact-next-boundary	MATCH	0	False	True	
0x001a0a68	mcGetInfo	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcGetInfo	312	exact-next-boundary	MATCH	0	False	True	
0x001a0ba0	mcOpen	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcOpen	220	exact-next-boundary	MATCH	0	False	True	
0x001a0c7c	mcClose	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcClose	176	exact-next-boundary	MATCH	0	False	True	
0x001a0d2c	mcSeek	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcSeek	196	exact-next-boundary	MATCH	0	False	True	
0x001a0df0	mcRead	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcRead	248	exact-next-boundary	MATCH	0	False	True	
0x001a0ee8	mcWrite	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcWrite	312	exact-next-boundary	MATCH	0	False	True	
0x001a1020	mcFlush	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcFlush	176	exact-next-boundary	MATCH	0	False	True	
0x001a10fc	mcChdir	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcChdir	264	exact-next-boundary	MATCH	0	False	True	
0x001a1204	mcGetDir	libmc	historical-standalone	ps2sdk/ee/rpc/memorycard/src/libmc.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_memorycard_src_libmc.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	mcGetDir	264	exact-next-boundary	MATCH	0	False	True	
0x001a8614	padEnd	libpad	historical-standalone	ps2sdk/ee/rpc/padx/src/libpadx.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_padx_src_libpadx.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	padEnd	124	exact-next-boundary	MATCH	0	False	True	
0x001a8918	padGetReqState	libpad	historical-standalone	ps2sdk/ee/rpc/padx/src/libpadx.c	hist-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_padx_src_libpadx.c__ee-gcc-3.2.2-stage1-3.2.2__hist-o2.o	padGetReqState	32	exact-next-boundary	MATCH	0	False	True	
0x001a89e4	padGetPortMax	libpad	historical-standalone	ps2sdk/ee/rpc/padx/src/libpadx.c	hist-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_padx_src_libpadx.c__ee-gcc-3.2.2-stage1-3.2.2__hist-o2.o	padGetPortMax	104	exact-next-boundary	MATCH	0	False	True	
0x001a8a4c	padGetSlotMax	libpad	historical-standalone	ps2sdk/ee/rpc/padx/src/libpadx.c	hist-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_padx_src_libpadx.c__ee-gcc-3.2.2-stage1-3.2.2__hist-o2.o	padGetSlotMax	112	exact-next-boundary	MATCH	0	False	True	
0x001a8abc	padGetModVersion	libpad	historical-standalone	ps2sdk/ee/rpc/padx/src/libpadx.c	hist-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_padx_src_libpadx.c__ee-gcc-3.2.2-stage1-3.2.2__hist-o2.o	padGetModVersion	104	exact-next-boundary	MATCH	0	False	True	
0x001a8c20	padSetMainMode	libpad	historical-standalone	ps2sdk/ee/rpc/padx/src/libpadx.c	hist-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_padx_src_libpadx.c__ee-gcc-3.2.2-stage1-3.2.2__hist-os.o	padSetMainMode	192	exact-next-boundary	MATCH	0	False	True	
0x001a8ce0	padInfoPressMode	libpad	historical-standalone	ps2sdk/ee/rpc/pad/src/libpad.c	hist-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_pad_src_libpad.c__ee-gcc-3.2.2-stage1-3.2.2__hist-o2.o	padInfoPressMode	44	exact-next-boundary	MATCH	0	False	True	
0x001a8d0c	padEnterPressMode	libpad	historical-standalone	ps2sdk/ee/rpc/pad/src/libpad.c	hist-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_pad_src_libpad.c__ee-gcc-3.2.2-stage1-3.2.2__hist-o2.o	padEnterPressMode	28	exact-next-boundary	MATCH	0	False	True	
0x001a8d28	padExitPressMode	libpad	historical-standalone	ps2sdk/ee/rpc/pad/src/libpad.c	hist-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_pad_src_libpad.c__ee-gcc-3.2.2-stage1-3.2.2__hist-o2.o	padExitPressMode	28	exact-next-boundary	MATCH	0	False	True	
0x001a8d44	padGetButtonMask	libpad	historical-standalone	ps2sdk/ee/rpc/padx/src/libpadx.c	hist-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300/objects/hist__ps2sdk_ee_rpc_padx_src_libpadx.c__ee-gcc-3.2.2-stage1-3.2.2__hist-o2.o	padGetButtonMask	120	exact-next-boundary	MATCH	0	False	True	
