address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result
0x0010768c	snes_p11_0010768c	audio-rpc	pgen-source	pgen-initial:lib/sjpcm_rpc.c	pgen-os	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; unique area-cross-match	build/matching/progress55-screen300c/objects/pgen__pgen-initial__sjpcm_rpc.c__pgen-os.o	SjPCM_Play	88	exact-next-boundary	MATCH
0x001076e4	snes_p11_001076e4	audio-rpc	pgen-source	pgen-initial:lib/sjpcm_rpc.c	pgen-os	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; unique area-cross-match	build/matching/progress55-screen300c/objects/pgen__pgen-initial__sjpcm_rpc.c__pgen-os.o	SjPCM_Pause	88	exact-next-boundary	MATCH
0x00198d78	gsDriver_setDisplayMode	gslib	pgen-libgs-archive	pgen-initial:lib/gslib051/lib/libgs.a	precompiled-archive	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; archive_sha256=d50c700051c54c05ad2a4e511e794097d0c94b3a48c11f1a6334bdd53833dd4e	build/matching/progress55-screen300c/archives/pgen-initial-403f1710/gsDriver.o	_ZN8gsDriver14setDisplayModeEjjjjjjjjjj	760	exact-next-boundary	MATCH
0x00199070	gsDriver_setDisplayPosition	gslib	pgen-libgs-archive	pgen-initial:lib/gslib051/lib/libgs.a	precompiled-archive	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; archive_sha256=d50c700051c54c05ad2a4e511e794097d0c94b3a48c11f1a6334bdd53833dd4e	build/matching/progress55-screen300c/archives/pgen-initial-403f1710/gsDriver.o	_ZN8gsDriver18setDisplayPositionEjj	136	exact-next-boundary	MATCH
0x001992f8	gsDriver_setDisplayBuffer	gslib	pgen-libgs-archive	pgen-initial:lib/gslib051/lib/libgs.a	precompiled-archive	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; archive_sha256=d50c700051c54c05ad2a4e511e794097d0c94b3a48c11f1a6334bdd53833dd4e	build/matching/progress55-screen300c/archives/pgen-initial-403f1710/gsDriver.o	_ZN8gsDriver16setDisplayBufferEj	100	jr-ra+nop-padding:0x4	MATCH
0x00199360	gsDriver_setDrawBuffer	gslib	pgen-libgs-archive	pgen-initial:lib/gslib051/lib/libgs.a	precompiled-archive	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; archive_sha256=d50c700051c54c05ad2a4e511e794097d0c94b3a48c11f1a6334bdd53833dd4e	build/matching/progress55-screen300c/archives/pgen-initial-403f1710/gsDriver.o	_ZN8gsDriver13setDrawBufferEj	100	jr-ra+nop-padding:0x4	MATCH
0x001993c8	gsDriver_AddVSyncCallback	gslib	pgen-libgs-archive	pgen-initial:lib/gslib051/lib/libgs.a	precompiled-archive	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; archive_sha256=d50c700051c54c05ad2a4e511e794097d0c94b3a48c11f1a6334bdd53833dd4e	build/matching/progress55-screen300c/archives/pgen-initial-403f1710/gsDriver.o	_ZN8gsDriver16AddVSyncCallbackEPFvvE	88	exact-next-boundary	MATCH
0x00199420	gsDriver_RemoveVSyncCallback	gslib	pgen-libgs-archive	pgen-initial:lib/gslib051/lib/libgs.a	precompiled-archive	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; archive_sha256=d50c700051c54c05ad2a4e511e794097d0c94b3a48c11f1a6334bdd53833dd4e	build/matching/progress55-screen300c/archives/pgen-initial-403f1710/gsDriver.o	_ZN8gsDriver19RemoveVSyncCallbackEj	32	exact-next-boundary	MATCH
0x00199440	gsDriver_EnableVSyncCallbacks	gslib	pgen-libgs-archive	pgen-initial:lib/gslib051/lib/libgs.a	precompiled-archive	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; archive_sha256=d50c700051c54c05ad2a4e511e794097d0c94b3a48c11f1a6334bdd53833dd4e	build/matching/progress55-screen300c/archives/pgen-initial-403f1710/gsDriver.o	_ZN8gsDriver20EnableVSyncCallbacksEv	28	jr-ra+nop-padding:0x4	MATCH
0x00199460	gsDriver_DisableVSyncCallbacks	gslib	pgen-libgs-archive	pgen-initial:lib/gslib051/lib/libgs.a	precompiled-archive	pgen=403f1710e5eacb7d04e5031e1cb0a40435ff9d33; archive_sha256=d50c700051c54c05ad2a4e511e794097d0c94b3a48c11f1a6334bdd53833dd4e	build/matching/progress55-screen300c/archives/pgen-initial-403f1710/gsDriver.o	_ZN8gsDriver21DisableVSyncCallbacksEv	28	jr-ra+nop-padding:0x4	MATCH
