address	name	area	provenance	source	profile	compiler	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations
0x00194628	inflate_blocks_reset	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/infblock.c	historical-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_infblock.c__ee-gcc-3.2.2-stage1-3.2.2__historical-os.o	inflate_blocks_reset	192	exact-next-boundary	MATCH	0	False	True	
0x001946e8	inflate_blocks_new	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/infblock.c	historical-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_infblock.c__ee-gcc-3.2.2-stage1-3.2.2__historical-os.o	inflate_blocks_new	232	exact-next-boundary	MATCH	0	False	True	
0x00195280	inflate_blocks_free	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/infblock.c	snesstation-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_infblock.c__ee-gcc-3.2.2-stage1-3.2.2__snesstation-o2.o	inflate_blocks_free	104	exact-next-boundary	MATCH	0	False	True	
0x001953ac	inflate_codes	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/infcodes.c	historical-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_infcodes.c__ee-gcc-3.2.2-stage1-3.2.2__historical-os.o	inflate_codes	1892	exact-next-boundary	MATCH	0	False	True	
0x00195b10	inflate_codes_free	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/infcodes.c	historical-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_infcodes.c__ee-gcc-3.2.2-stage1-3.2.2__historical-os.o	inflate_codes_free	44	exact-next-boundary	MATCH	0	True	True	
0x001964d4	inflate_trees_bits	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/inftrees.c	snesstation-o2	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_inftrees.c__ee-gcc-3.2.2-stage1-3.2.2__snesstation-o2.o	inflate_trees_bits	256	exact-next-boundary	MATCH	0	False	True	
0x001965d4	inflate_trees_dynamic	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/inftrees.c	historical-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_inftrees.c__ee-gcc-3.2.2-stage1-3.2.2__historical-os.o	inflate_trees_dynamic	476	exact-next-boundary	MATCH	0	False	True	
0x001967b0	inflate_trees_fixed	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/inftrees.c	historical-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_inftrees.c__ee-gcc-3.2.2-stage1-3.2.2__historical-os.o	inflate_trees_fixed	56	exact-next-boundary	MATCH	0	False	True	
0x00196a94	pqdownheap	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/trees.c	historical-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_trees.c__ee-gcc-3.2.2-stage1-3.2.2__historical-os.o	pqdownheap	260	exact-next-boundary	MATCH	0	True	True	
0x00196e80	gen_codes	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/trees.c	historical-os	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_trees.c__ee-gcc-3.2.2-stage1-3.2.2__historical-os.o	gen_codes	164	exact-next-boundary	MATCH	0	False	True	
0x00198a84	zcalloc	zlib	pgen-initial-zlib113	PGEN-403f1710/zlib/zutil.c	pgen-exact-o3	ee-gcc-3.2.2-stage1-3.2.2	build/matching/progress55-screen300d/objects/pgen-initial-zlib113__zlib_zutil.c__ee-gcc-3.2.2-stage1-3.2.2__pgen-exact-o3.o	zcalloc	32	exact-next-boundary	MATCH	0	False	True	
