address	name	area	provenance	source	profile	object_symbol	object_size	boundary	result	differing_bytes
0x0018f070	unzlocal_getShort	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	os	unzlocal_getShort	124	exact-next-boundary	MATCH	0
0x0018f0ec	unzlocal_getLong	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	os	unzlocal_getLong	204	exact-next-boundary	MATCH	0
0x0018f1b8	strcmpcasenosensitive_internal	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	os	strcmpcasenosensitive_internal	136	exact-next-boundary	MATCH	0
0x0018f5e0	unzClose	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	o2	unzClose	88	exact-next-boundary	MATCH	0
0x0018faec	unzGoToFirstFile	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	o2	unzGoToFirstFile	104	exact-next-boundary	MATCH	0
0x0018fb54	unzGoToNextFile	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	os	unzGoToNextFile	168	exact-next-boundary	MATCH	0
0x0018fbfc	unzLocateFile	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	os	unzLocateFile	240	exact-next-boundary	MATCH	0
0x00190458	unztell	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	o2	unztell	28	exact-next-boundary	MATCH	0
0x00190474	unzeof	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	o2	unzeof	44	exact-next-boundary	MATCH	0
0x00190578	unzCloseCurrentFile	unzip	minizip-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/contrib/minizip/unzip.c	o2	unzCloseCurrentFile	176	exact-next-boundary	MATCH	0
0x0019441c	getLong	zlib	zlib-1.1.3	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-14763ac7/gzio.c	os	getLong	124	exact-next-boundary	MATCH	0
