name,kind,va_start,va_end,size_hex,size_dec,sha256,decoded_sha256,size_word_va,consumer
cdvd_irx,IRX ELF32,0x001ec300,0x001f40d4,0x7dd4,32212,0dbf147d0f0cb2a49c7d734e92df0570b079c52dde19478bc94b5283345050de,,0x001f40d4,main bootstrap module loader
sjpcm_irx,IRX ELF32,0x001f4100,0x001f60c5,0x1fc5,8133,690d69decfd2abaed46a06c402be0b835d3329bb49a1012ecc29a7a4a9ad579f,,0x001f60c8,main bootstrap module loader
amigamod_irx,IRX ELF32,0x001f6140,0x001faf9d,0x4e5d,20061,25d8b8b8e0a9ec1a28ff944eb2a21f53b87125d4f7f74ddb5f93d4621005a3e3,,0x001fafa0,main bootstrap module loader
frontend_background_iif,IIF1 GS texture,0x001fafd0,0x00290fe0,0x96010,614416,4e840cd29cad2d322745ce0e229bcb8ee87ccb9953f258e4085057f43cca9d6c,,,frontend upload 0x001019a8 via pointer 0x001bb310
frontend_logo_iif,IIF1 GS texture,0x00290ff0,0x002ab1d0,0x1a1e0,106976,b77c27f9ecbe25f0f781675e52c7558130f48653b2189b5b027c48c29444a3ad,,,frontend upload 0x001019a8 via pointer 0x001bb314
frontend_panel_corner_iif,IIF1 GS texture,0x002ab1e0,0x002abaf0,0x910,2320,7ad58b6011d746fc89b28a78ce41a60c1619d67bf7281fe85e673e46ec39bfb0,,,frontend upload 0x001019a8 via pointer 0x001bb318
frontend_font_bfnt,BFNT GS font,0x002abb00,0x002ebc20,0x40120,262432,65deef51212e1aa73ef78a8991d38dee56125db97c9d272c5ab8baab856f63f6,,,gsFont upload 0x001019a8 via pointer 0x001bb31c
credits_text,XOR-obfuscated text,0x002ebc30,0x002ec1f1,0x5c1,1473,c0df5f69b9d92c4bfaee26e6b67aff543c84c245325c6bdae0559fda8dbbcf8c,baf9e6d8f17ce72c7414caed3cc575377856d33ac64d8e6ae82bf9296ce1c6fc,0x002ec1f4,main decode loop 0x00105104
disclaimer_text,XOR-obfuscated text,0x002ec200,0x002ec53a,0x33a,826,9c63830df59415ff015df28941d7724c28ea539c68b83e25cdf05a6f5d67c6ed,90a3cd5bf0c0945a3c9ad049d2741affe0c2a72f95b3613de2c7d674742d8c99,0x002ec53c,main decode loop 0x001050b4
azazel_mod,ProTracker MOD,0x002ec540,0x0032294c,0x3640c,222220,a60a9079c4971454eb5b501fa024cd1e9e93c890811bddfe49ec553fd699adf5,,0x0032294c,module player setup 0x00105d78
memory_card_icon,PS2 Memory Card 3D icon,0x00322980,0x00335278,0x128f8,76024,e3360a2f45353f2d8d222bd427c018587e8e48d8fd40df4f1449924e015fc571,,0x00335278,memory-card writer 0x00107358
