symbol	target_address	status	section	section_offset_hex	access_extent_hex	coverage_kind	requesters	claim
DAT_001385ec	0x001385ec	ROM_OFFSET_SOURCE_REFACTOR_CLOSED					ps2/progress28_structural_lift_recovered.o	ROM-relative constant, not storage at the numerically equal EE address
DAT_001385ed	0x001385ed	ROM_OFFSET_SOURCE_REFACTOR_CLOSED					ps2/progress28_structural_lift_recovered.o	ROM-relative constant, not storage at the numerically equal EE address
DAT_001b0a58	0x001b0a58	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0xa58		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b0ba0	0x001b0ba0	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0xba0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b0ba8	0x001b0ba8	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0xba8	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b0eb8	0x001b0eb8	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0xeb8	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b0eb9	0x001b0eb9	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0xeb9	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b1370	0x001b1370	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0x1370		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b1468	0x001b1468	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0x1468	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b1470	0x001b1470	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0x1470	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b18d0	0x001b18d0	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0x18d0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b18d8	0x001b18d8	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0x18d8	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b18e0	0x001b18e0	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0x18e0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b18e8	0x001b18e8	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0x18e8	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b18f0	0x001b18f0	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001b0000	0x18f0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b20d8	0x001b20d8	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b20d8	0x0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b20e0	0x001b20e0	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b20d8	0x8	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b20e8	0x001b20e8	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b20d8	0x10	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b20f0	0x001b20f0	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b20d8	0x18	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b20f8	0x001b20f8	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b20d8	0x20	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b2118	0x001b2118	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b2118	0x0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b6ef8	0x001b6ef8	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_001b6ef8	0x0		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b83f0	0x001b83f0	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b83f0	0x0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8440	0x001b8440	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b8440	0x0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8508	0x001b8508	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b8508	0x0	0x8	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8510	0x001b8510	SECTION_BACKED_ADDRESS	.data.stage3f.va_001b8508	0x8	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8530	0x001b8530	SECTION_BACKED_ADDRESS	.data.stage3f.recovered.va_001b8530	0x0		recovered-source-literal	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8538	0x001b8538	SECTION_BACKED_ADDRESS	.data.stage3f.recovered.va_001b8530	0x8		recovered-source-literal	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8558	0x001b8558	SECTION_BACKED_ADDRESS	.data.stage3f.recovered.va_001b8558	0x0		recovered-source-literal	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8580	0x001b8580	SECTION_BACKED_ADDRESS	.data.stage3f.recovered.va_001b8580	0x0		recovered-source-literal	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8588	0x001b8588	SECTION_BACKED_ADDRESS	.data.stage3f.recovered.va_001b8580	0x8		recovered-source-literal	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001b8590	0x001b8590	SECTION_BACKED_ADDRESS	.data.stage3f.recovered.va_001b8590	0x0		recovered-source-literal	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001babc8	0x001babc8	RUNTIME_MEMBER_DATA_OBJECT					ps2/progress28_structural_lift_recovered.o	exact GCC 3.2.2 libgcc runtime data object identity: __clz_tab in _clz.o .rodata+0 size 0x100; full target payload matches all four local archive copies
DAT_001baf00	0x001baf00	SECTION_BACKED_ADDRESS	.data.stage3f.va_001baf00	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001baf08	0x001baf08	SECTION_BACKED_ADDRESS	.data.stage3f.va_001baf08	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001baf20	0x001baf20	SECTION_BACKED_ADDRESS	.data.stage3f.va_001baf20	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bb2c0	0x001bb2c0	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001bb2c0	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bb2c4	0x001bb2c4	SECTION_BACKED_ADDRESS	.data.stage3f.va_001bb2c4	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bb2c8	0x001bb2c8	SECTION_BACKED_ADDRESS	.data.stage3f.va_001bb2c4	0x4	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bb2cc	0x001bb2cc	SECTION_BACKED_ADDRESS	.data.stage3f.va_001bb2c4	0x8	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bb340	0x001bb340	SECTION_BACKED_ADDRESS	.data.stage3f.va_001bb340	0x0	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bb341	0x001bb341	SECTION_BACKED_ADDRESS	.data.stage3f.va_001bb340	0x1	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bb748	0x001bb748	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001bb748	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bb87c	0x001bb87c	SECTION_BACKED_ADDRESS	.data.stage3f.va_001bb87c	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bbd44	0x001bbd44	SECTION_BACKED_ADDRESS	.data.stage3f.va_001bbd44	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bbd50	0x001bbd50	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001bbd48	0x8	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001bbd80	0x001bbd80	PCM_BUFFER_MINIMUM_EXTENT					ps2/progress28_structural_lift_recovered.o	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
DAT_001bbd82	0x001bbd82	PCM_BUFFER_MINIMUM_EXTENT					ps2/progress28_structural_lift_recovered.o	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
DAT_001bbd84	0x001bbd84	PCM_BUFFER_MINIMUM_EXTENT					ps2/progress28_structural_lift_recovered.o	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
DAT_001bbd86	0x001bbd86	PCM_BUFFER_MINIMUM_EXTENT					ps2/progress28_structural_lift_recovered.o	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
DAT_001d3480	0x001d3480	PCM_BUFFER_MINIMUM_EXTENT					ps2/progress28_structural_lift_recovered.o	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
DAT_001d3482	0x001d3482	PCM_BUFFER_MINIMUM_EXTENT					ps2/progress28_structural_lift_recovered.o	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
DAT_001d3484	0x001d3484	PCM_BUFFER_MINIMUM_EXTENT					ps2/progress28_structural_lift_recovered.o	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
DAT_001d3486	0x001d3486	PCM_BUFFER_MINIMUM_EXTENT					ps2/progress28_structural_lift_recovered.o	minimum target-consumed PS2 PCM channel extent proved from exact SIZE CFG, reachable mixer-count transformations, target access formulas, and private range fingerprint; complete original C array extent remains unclaimed
DAT_001eba80	0x001eba80	SECTION_BACKED_ADDRESS	.data.stage3f.va_001eba80	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebae0	0x001ebae0	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001ebae0	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebae4	0x001ebae4	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001ebae0	0x4	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebaec	0x001ebaec	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001ebaec	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd40	0x001ebd40	SECTION_BACKED_ADDRESS	.data.stage3ce.va_001ebd40	0x0	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd41	0x001ebd41	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd41	0x0	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
