section	target_address	extent_hex	origin	region	alignment_hex	sha256	evidence_sha256
.data.stage3ce.va_001b0000	0x001b0000	0x1c01	stage3ce	initialized	0x1	fc1064b2cda5878a88f70e1d9bd5b0c87c32da042e4c62286baae4f1ccabf02b	27c5dc7fa19b72c0baa3c4cce4ce57dc4706110bbd79a269dab600c9521d6b26
.data.stage3f.va_001b20d8	0x001b20d8	0x28	stage3f-access	initialized	0x1	5deb097952898320fd73076259a36f96d10c47df800b9e257e23f6bfc1f7c901	20f93b63a3c17582696121c9bba3e5fd7ba1fe9902be650379ca193b00d5ed36
.data.stage3f.va_001b2118	0x001b2118	0x8	stage3f-access	initialized	0x1	568946b73185be9212f78a92db515c48fc38a91b32e7afc953f7e8e4acdb4a0e	c5f9831da849da415a40aa1af256e6dadc2bda65f7f78f1d33027d62c32e2c97
.data.stage3ce.va_001b6ed0	0x001b6ed0	0x17	stage3ce	initialized	0x1	ce83f563872814a1548aff0ce3fa378082df6d47c7af73bd1118d2afaf141386	601d640ff9bde0a753744895bc317c0363d6563b9a11458b24077259ee3c1c3a
.data.stage3f.history.va_001b6ef8	0x001b6ef8	0x400	historical-source-exact	initialized	0x1	12f3e0576d447eb37b36d82ba0c1c5481b8f0d12fdc70347ce4a076b229d4c86	6c0c532b82305cec0385081433133ed91a30f7f5647b172a2302aa38fe5193b7
.data.stage3ce.va_001b8050	0x001b8050	0x5	stage3ce	initialized	0x1	34acd0f3d95aa0c3b8aa4cd4c2f94d09911d433c6a3a6a0c653f639007c21fd5	e737407c4ca9698c01801f655791892a2f7605469758bee8dfc64fea4d76ea50
.data.stage3f.va_001b83f0	0x001b83f0	0x8	stage3f-access	initialized	0x1	0aebd7682f6377266e847e437b24d2f11fd3d667c286edee8dc948e5347621a7	c9476db2c7cf2fcd898e7d331773de5992bd290ed556cf42c8d8804e4588b90f
.data.stage3f.va_001b8440	0x001b8440	0x8	stage3f-access	initialized	0x1	9a7f813335d2ee00d78a5eabeab83eee448f5272dd2428a569af2f30319b8408	108edf4d1e74a1344f49dbf660a752fa349ccdbf1ccaa3fb4a36b930bee5c2dc
.data.stage3f.va_001b8508	0x001b8508	0x9	stage3f-access	initialized	0x1	aba6b22a9014a98509052f12b39957f5a084ad3c7aa60423ab770c7b83e06383	ee99bf16d068bfa49671fb5e37bab859a7747ca85cdbe3b9b85acfe57a863ec2
.data.stage3ce.va_001b98c0	0x001b98c0	0x86c	stage3ce	initialized	0x1	4859a0f2862659b32a94e435bda9912f463f6752482c0ebd70c92f0f41a70514	beeb55cbd9f9872e9ac15a8063bcc0cbf9f0a0aef99c955d1ea5f47b394f0699
.data.stage3ce.va_001ba130	0x001ba130	0x78	stage3ce	initialized	0x1	5961bf1fcf83803ce7775e15e9db8d21af741539b85ccfdd643f9e22cc7820d6	d6f54c27d320f1ecd0331606d0e4919bdcd1d7d7c815b9687ba0054e0e3d44a6
.data.stage3ce.va_001ba82c	0x001ba82c	0x39c	stage3ce	initialized	0x1	408bd34fe71871674b9fa60b23878631cda8dce5b8c155bf032d1b0519c15fa2	b03eb3e2fb552dc3735d035dc8e5dbbc1a209cf66375327bedb1b7081dfe259c
.data.stage3f.va_001baf00	0x001baf00	0x4	stage3f-access	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	6b62c14047126cd73d3079ee95453136765086353d4bf08cdd773be2c68a7cfc
.data.stage3f.va_001baf08	0x001baf08	0x4	stage3f-access	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	379a00c930b140bb5dec57c449196ea3b5dac3a1d5b74ee6e8e063c461170b2a
.data.stage3f.va_001baf10	0x001baf10	0x8	stage3f-access	initialized	0x1	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	a0b048ef1bda46a312e6a6ed10b53002061516a0ecd4fb17bb7d47ffa4ea0bf4
.data.stage3ce.va_001baf18	0x001baf18	0x4	stage3ce	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	95467427dae8b7f17df904e73dc5837ace10cfbda3be8e43b32c27537563c663
.data.stage3f.va_001baf20	0x001baf20	0x4	stage3f-access	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	5b240da7f9a225a6192f12ee93f5b24489aa598c7415f7b260ab1b02926ec712
.data.stage3ce.va_001bb2c0	0x001bb2c0	0x4	stage3ce	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	d822921a126f01b32c71b3306996a5b36b66bcb1055db0c6b2ff19f46342da6f
.data.stage3f.va_001bb2c4	0x001bb2c4	0xc	stage3f-access	initialized	0x1	3f3958b94a1837dbaee3751e96e21ff4fdf24bd7bf0b3ae123531d44870af83d	c425ad21d627ce8727df3d9fc0ef48401f6ad19a797cd7174e26fee5188837bc
.data.stage3ce.va_001bb31c	0x001bb31c	0x8	stage3ce	initialized	0x1	a8b798898feea8e593b28d96208f2198d8907abd41643044baa2d77ec0fed6e5	88ba44c21ffd3561497a00b2d402c5141b6b78824702b394b63074dabf0dcc68
.data.stage3f.va_001bb340	0x001bb340	0x2	stage3f-access	initialized	0x1	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	9f13bab897824f5122f2fc0e961b7323f48d85057a650998e7fbdb293f5f8f9e
.data.stage3ce.va_001bb748	0x001bb748	0x134	stage3ce	initialized	0x1	9575b2125169377b2ade7b401ea36c81228331d971f49664d9648d4f255d4868	c2e88f28176124cc58b26ecc101250acf946608cd306c21d5a16d733249639b7
.data.stage3f.va_001bb87c	0x001bb87c	0x4	stage3f-access	initialized	0x1	67abdd721024f0ff4e0b3f4c2fc13bc5bad42d0b7851d456d88d203d15aaa450	2588673447c7ea806a9b28fa63c9f6ed107e976d3ddffcc01c6bcd518e6bade3
.data.stage3f.va_001bbd44	0x001bbd44	0x4	stage3f-access	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	5b3c2eadf33df1020f266d3d1e337f3c7e0072ba2888c0cd037fdbb1ba2209b7
.data.stage3ce.va_001bbd48	0x001bbd48	0x10	stage3ce	initialized	0x1	374708fff7719dd5979ec875d56cd2286f6d3cf7ec317a3b25632aab28ec37bb	e94e82f2e24afbc4711a29f2a2b39b0da88501430c90afd199869c24b8d16c5e
.data.stage3ce.va_001c8a80	0x001c8a80	0x800	stage3ce	initialized	0x1	e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad	cc160eba385f7d165f57d25a951fd3f461b4216c724d1fdbf1ec001c09e2d617
.data.stage3f.va_001eba80	0x001eba80	0x4	stage3f-access	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	3fcad882b403ffb345c3b5a33982ca5f9ec4940a77313b876dd90450380b5a1b
.data.stage3ce.va_001ebae0	0x001ebae0	0x8	stage3ce	initialized	0x1	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	a3c292dc555c555d9f190b9ac8d803be420b52b62a06129feccd9d2ba1d2eecd
.data.stage3ce.va_001ebaec	0x001ebaec	0x4	stage3ce	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f72be7025af6841fbc673112f31de49923ab9ba07cb8accda7ba09fb5b49eb4
.data.stage3ce.va_001ebd40	0x001ebd40	0x1	stage3ce	initialized	0x1	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	36abf5a13406f7af373d34069ba63b98a5cd1e225da62b29173d4bdf9f650e3d
.data.stage3f.va_001ebd41	0x001ebd41	0x6	stage3f-access	initialized	0x1	b0f66adc83641586656866813fd9dd0b8ebb63796075661ba45d1aa8089e1d44	e44d7bfe3fb0e9d81816e7813628968eb40b2e9c387e9143889c8304adde1172
.data.stage3f.va_001ebd48	0x001ebd48	0x18	stage3f-access	initialized	0x1	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	d69d674d98c6129258d5600ef80d25cc1a4bcb409b72e22432d127bf7f9d8eca
.data.stage3f.va_001ebe00	0x001ebe00	0x3c8	stage3f-access	initialized	0x1	a038ee252f6057f767a2e97566457a8ade06fc1203c8e9be326a5c29181df5ba	ed1a236ed625d6efe372e7a547a26c213fd7d0738c7bd369c30d29860d17d2bc
.data.private_asset.cdvd_irx	0x001ec300	0x7dd8	private-asset	initialized	0x4	76e43e495fc56cb17e5da0de6633238b57abc16f83699e0f0e582e93ee59170f	df373dab4d478ece5c9c2d8e19c6d62b2f43cd618ab0d0cf6d47e6d94a268859
.data.private_asset.sjpcm_irx	0x001f4100	0x1fcc	private-asset	initialized	0x4	292292a51f519a374b291dd7160b928a099ce17e6cc0a1256c2481ff3ba1ba05	5d0b0fa331cdcc710ad7bf2ebcf98c52f1de2f44b0b0e2e94e75821d58a79551
.data.private_asset.amigamod_irx	0x001f6140	0x4e64	private-asset	initialized	0x4	1febdcad33efa7bde6b418d3663a788ab86e149269ae824250a8187aa25b5776	e42f27c25cf74d52f30b6c4641399d4688884b5d3fdd4a872392f58073387c93
.data.stage3ce.va_001fc752	0x001fc752	0x1	stage3ce	initialized	0x1	c557e71380112b980eaf1145fa80621130dfbdfa1e375d87ae0018b7c60ac16b	fb0a1b4a41b797e692d048f4a61281eb25718828ad67130c8bb55d5cffa55197
.data.private_asset.credits_text	0x002ebc30	0x5c8	private-asset	initialized	0x4	fabdd393aff61d1eeae1b64e5afe49263e2428f638fe8a31c59dd3e5266e34d2	8fb86f60a894a2c332c65a01a6212879b04faa6540e2f538143f443e1f3c35e1
.data.private_asset.disclaimer_text	0x002ec200	0x340	private-asset	initialized	0x4	233b77adf1295e840a3a4200cbacc8b41e1cca6648b686244dd0d47803fe1479	27894cd869074ebbb478389977f63a23b57b32c6ba239fcfcd807e08a7b27ec7
.data.stage3f.va_00335278	0x00335278	0x4	stage3f-access	initialized	0x1	9c332aa7d982e2da42593ab1f32146cab52538426e92f5a2097352867c7d1696	223756f942abdb33ef378c0f3a9936aeef2d65e0246e6adc1d3e46ac58aaf5ae
.data.stage3f.va_00335280	0x00335280	0x4	stage3f-access	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	c44d822bb0345b3681522c79191f55b9f91ac5f3451df289be3d5ee93b0a69b4
.data.stage3f.history.va_00335370	0x00335370	0x4	historical-source-exact	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	519d0fae7d42f372b1bd3fec882ca9d90d9e12ab088188ca5c9d865f320ffacf
.data.stage3f.history.va_00335374	0x00335374	0x4	historical-source-exact	initialized	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	d349504b997a787cc4189e4ccbfa910b336a3b9212abf3462fe825febac56b20
.data.stage3f.history.va_00335378	0x00335378	0x100	historical-source-exact	initialized	0x1	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1	7be55ec1eb4318b436ea2270ddcd3e3d8594cc6089a09d4c691f1a01f4125c91
.data.stage3f.history.va_00335478	0x00335478	0x80	historical-source-exact	initialized	0x1	59e0cd7c5cf19bda7c4d38ab93b7cf1ad155d2b4ec3772e1796e3a76ec180603	48ce931dae95c63900b60c2aeb3624d8321ec8f9b501e4528f31e70401248e2b
.data.stage3f.history.va_003354f8	0x003354f8	0x40	historical-source-exact	initialized	0x1	f1983c00de6472f16fc1b57e3b059bcc4cbee4b8b97c3fbc51b1b668c77eab79	40bcff2af77231547de0815f06657468311bfc7cfc392556367bda45b2ddaf8b
.data.stage3f.history.va_00335538	0x00335538	0x100	historical-source-exact	initialized	0x1	3d9a27992a4d846a6de102760b761e0d9498e61134e80c68e7875b9238c0d494	bda3a03b38d5b1a3494ea0883d81e0af3835abae293c2e5418334533963bc79a
.data.stage3f.history.va_00335638	0x00335638	0x100	historical-source-exact	initialized	0x1	c63769333eb23c3d6a96a18cca2f4f6beef37e210ba81e90a6c4bfe6dce289bd	897b173473fee0daeb3583ad57f15bdf02f29661b3d8165ab736ebd8815fd420
.data.stage3f.history.va_00335738	0x00335738	0x100	historical-source-exact	initialized	0x1	3d9a27992a4d846a6de102760b761e0d9498e61134e80c68e7875b9238c0d494	80004440d309f8af35240368efa2bf90200fc2cff5cf627e026dba8233e8adf0
.data.stage3f.history.va_00335938	0x00335938	0x2	historical-source-exact	initialized	0x1	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	0a41bbc06c01347b94face2ab8fc3a94965baf805b40f762f3b1bc45d96c6a5f
.data.stage3f.history.va_0033593a	0x0033593a	0x2	historical-source-exact	initialized	0x1	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	9166cb5bc3ac710ea2463f851109bad6c8ba749b37262ca17a6684304f3a3592
.data.stage3f.history.va_0033593c	0x0033593c	0x2	historical-source-exact	initialized	0x1	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	6f7d125bb1ee6d59fc3e45877f729ef51b10a66fe1bdef7ac38eb8d54c8e911c
