symbol	target_address	status	resolution_kind	canonical_symbol	evidence	category	provider_kind	canonical_source	canonical_object	requesters	detail
CDVD_Init	0x0019be70	RESOLVED	semantic-text-alias	CDVD_Init_0019be70	exact-progress-name+unique-recovered-global-text	named-external	link-contract	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o	app/main_bootstrap.o	progress=CDVD_Init
DAT_001385ec	0x001385ec	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001385ed	0x001385ed	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b0a58	0x001b0a58	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b0ba0	0x001b0ba0	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b0ba8	0x001b0ba8	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b0eb8	0x001b0eb8	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b0eb9	0x001b0eb9	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b1370	0x001b1370	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b1468	0x001b1468	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b1470	0x001b1470	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b18d0	0x001b18d0	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b18d8	0x001b18d8	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b18e0	0x001b18e0	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b18e8	0x001b18e8	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b18f0	0x001b18f0	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b20d8	0x001b20d8	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
DAT_001b20e0	0x001b20e0	RESOLVED	absolute-address-anchor		address-suffix-inside-frozen-layout	target-address-data	program-data			ps2/progress28_structural_lift_recovered.o	absolute value only; no storage, section bytes, size, or alignment emitted
