symbol	category	status	target_address	extent_hex	region	sha256	evidence	requesters	detail
IPPU_FrameSync	named-program-data	RANGE_PROVED	0x35c268	0x1c	initialized	3addfb141cd7c9c4c6543a82191a3707ac29c7a041217782e61d4d91c691aee8	v87-target-address+minimum-consumed-extent	ps2/path_helpers_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
Memory_ROMFramesPerSecond	named-program-data	RANGE_PROVED	0x3592fc	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	v87-target-address+minimum-consumed-extent	ps2/path_helpers_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
Settings_SkipFrames	named-program-data	RANGE_PROVED	0x34551c	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	v87-target-address+minimum-consumed-extent	ps2/path_helpers_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
embedded_amigamod_irx	embedded-binary	PRIVATE_BYTES_PROVED	0x1f6140	0x4e5d	initialized	25d8b8b8e0a9ec1a28ff944eb2a21f53b87125d4f7f74ddb5f93d4621005a3e3	v86-private-reference-provider	app/main_bootstrap.o	asset=amigamod_irx;section=.data.private_asset.amigamod_irx
embedded_amigamod_irx_size	embedded-binary	PRIVATE_BYTES_PROVED	0x1fafa0	0x4	initialized	454a2643aa688d41a46ff6d11adf4d9c701f0718c05ab963b4b0b8c4a7617633	v86-private-reference-provider	app/main_bootstrap.o	asset=amigamod_irx;section=.data.private_asset.amigamod_irx
embedded_cdvd_irx	embedded-binary	PRIVATE_BYTES_PROVED	0x1ec300	0x7dd4	initialized	0dbf147d0f0cb2a49c7d734e92df0570b079c52dde19478bc94b5283345050de	v86-private-reference-provider	app/main_bootstrap.o	asset=cdvd_irx;section=.data.private_asset.cdvd_irx
embedded_cdvd_irx_size	embedded-binary	PRIVATE_BYTES_PROVED	0x1f40d4	0x4	initialized	fe993420a01012ed848928aa03bf957b46ba7a0e1ea6b5b50c7f141f83bd8f9f	v86-private-reference-provider	app/main_bootstrap.o	asset=cdvd_irx;section=.data.private_asset.cdvd_irx
embedded_credits_bytes	embedded-binary	PRIVATE_BYTES_PROVED	0x2ec1f4	0x4	initialized	40f0d629a77b77ca67b43cc8c4726508365df5599d45e85fa17507bcaab7c861	v86-private-reference-provider	app/main_flow_recovered.o	asset=credits_text;section=.data.private_asset.credits_text
embedded_credits_xor	embedded-binary	PRIVATE_BYTES_PROVED	0x2ebc30	0x5c1	initialized	c0df5f69b9d92c4bfaee26e6b67aff543c84c245325c6bdae0559fda8dbbcf8c	v86-private-reference-provider	app/main_flow_recovered.o	asset=credits_text;section=.data.private_asset.credits_text
embedded_disclaimer_bytes	embedded-binary	PRIVATE_BYTES_PROVED	0x2ec53c	0x4	initialized	2d67029f556ec6b0a92a613d0873025ac2cf88b6cc7a49abee49676b2397fa7d	v86-private-reference-provider	app/main_flow_recovered.o	asset=disclaimer_text;section=.data.private_asset.disclaimer_text
