symbol	decision	target_address	extent_hex	evidence	evidence_path	evidence_token	detail
g_apu_state_00345498	target-range	0x00345498	0x28	reviewed-source-structure	src/snes9x/apu_alloc_recovered.c	struct RecoveredApuBufferState_00345498	address-labelled APU state has a source-proved minimum extent through field +0x24
g_fillram_0034e2c4	target-range	0x0034e2c4	0x4	reviewed-source-pointer	src/ps2/progress22_more_small_helpers_recovered.c	extern uint8_t *g_fillram_0034e2c4	address-labelled object is a four-byte EE pointer
g_frontend_driver_001bb2c0	target-range	0x001bb2c0	0x4	reviewed-source-pointer	src/ps2/progress22_more_small_helpers_recovered.c	extern gsDriverRecovered *g_frontend_driver_001bb2c0	address-labelled frontend driver slot is a four-byte EE pointer
g_frontend_font_001bb748	target-range	0x001bb748	0x134	reviewed-target-boundary	analysis/link_identity/stage3c_boundary_proofs.tsv	g_frontend_font_001bb748	gsFont target size ends exactly where the independently anchored DAT_001bb87c object begins
g_Memory	source-refactor-closed			reviewed-absent-source-adapter	analysis/functions/main_tail_00105060.asm	105310: 35 00 04 3c	target materializes 0x0034e2b0 directly for the Memory object; the source pointer slot at 0x0035e2b0 was invented and is removed
g_memory_card_available	target-range	0x001ebaec	0x4	reviewed-target-store	analysis/functions/main_tail_00105060.asm	105190: ec ba 62 ac	main stores the memory-card setup result through lui 0x1f plus signed offset -0x4514
g_memory_state_001c3ab0	source-refactor-closed			reviewed-absent-source-adapter	analysis/functions/frontend_shutdown_00104e58.asm	104e68: b0 e2 84 24	frontend shutdown passes the same 0x0034e2b0 Memory object directly; the false 0x001c3ab0 source alias is removed
g_p21_state_extension_prefix_001b1348	target-range	0x001b1348	0x2	reviewed-source-array	src/ps2/progress21_small_helpers_recovered.c	extern const char g_p21_state_extension_prefix_001b1348[2]	two-byte state extension prefix is explicitly consumed
g_p21_toc_anchor_00427010	target-range	0x00427010	0x4	reviewed-source-pointer	src/ps2/progress21_small_helpers_recovered.c	extern const uint8_t *g_p21_toc_anchor_00427010	TOC anchor is a four-byte EE pointer slot in zero-fill memory
g_shrink_workspace_recovered	target-range	0x00448200	0x6000	reviewed-target-workspace	analysis/functions/unshrink_0018ea64.asm	18eab0: 00 82 42 24	unShrink constructs the shared dictionary base with lui 0x45 plus signed offset -0x7e00
g_state_003454e0	target-range	0x003454e0	0x148	reviewed-overlap-alias	src/app/main_flow_recovered.c	extern uint8_t g_Settings_blob[0x148]	address-labelled state aliases the complete settings blob at the same address
g_unz_ops_recovered	source-refactor-closed			reviewed-synthetic-adapter-removed	analysis/functions/unzip_api_0018f010.asm	18f02c: 48 74 06 0c	target calls fioRead directly and contains no six-function operation-table object; source now calls the historical functions directly
g_zip_io_recovered	source-refactor-closed			reviewed-synthetic-adapter-removed	analysis/functions/unzip_io_huft_0018dc60.asm	18dc7c: 50 48 24 8e	target state is split across pointer slots and shared workspaces; source now uses those exact target fields and addresses
snes_vtable_00426c28	target-range	0x00426c28	0x10	reviewed-target-boundary	analysis/link_identity/stage3c_boundary_proofs.tsv	snes_vtable_00426c28	four method entries occupy the address point and the independently shaped typeinfo object starts at the exclusive end
