symbol	category	provider_kind	resolution_kind	target_address	target_symbol	storage_size_hex	evidence	requesters	detail
EI	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/progress28_structural_lift_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
FUN_0012e750	target-function-alias	source-address-alias	absolute-target-anchor	0x0012e750			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_0012f744	target-function-alias	source-address-alias	absolute-target-anchor	0x0012f744			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_00142a78	target-function-alias	source-address-alias	absolute-target-anchor	0x00142a78			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_0016fc90	target-function-alias	source-address-alias	absolute-target-anchor	0x0016fc90			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_0016fe00	target-function-alias	source-address-alias	absolute-target-anchor	0x0016fe00			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a5cc0	target-function-alias	source-address-alias	absolute-target-anchor	0x001a5cc0			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a5dd0	target-function-alias	source-address-alias	absolute-target-anchor	0x001a5dd0			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a6348	target-function-alias	source-address-alias	absolute-target-anchor	0x001a6348			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a6410	target-function-alias	source-address-alias	absolute-target-anchor	0x001a6410			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a91b0	target-function-alias	source-address-alias	absolute-target-anchor	0x001a91b0			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a9268	target-function-alias	source-address-alias	absolute-target-anchor	0x001a9268			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a92a8	target-function-alias	source-address-alias	absolute-target-anchor	0x001a92a8			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a9308	target-function-alias	source-address-alias	absolute-target-anchor	0x001a9308			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
FUN_001a9d08	target-function-alias	source-address-alias	absolute-target-anchor	0x001a9d08			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
IPPU_FrameSync	named-program-data	program-data	compatibility-storage	0x0035c268		0x1c	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
Memory_ROMFramesPerSecond	named-program-data	program-data	compatibility-storage	0x003592fc		0x4	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
PTR_DAT_001bb31c	named-external	link-contract	absolute-target-anchor	0x001bb31c			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_DAT_003f4918	named-external	link-contract	absolute-target-anchor	0x003f4918			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_DAT_003f4958	named-external	link-contract	absolute-target-anchor	0x003f4958			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_DAT_003f4bf8	named-external	link-contract	absolute-target-anchor	0x003f4bf8			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_FUN_003367f8	named-external	link-contract	absolute-target-anchor	0x003367f8			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_FUN_00341658	named-external	link-contract	absolute-target-anchor	0x00341658			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_FUN_0034165c	named-external	link-contract	absolute-target-anchor	0x0034165c			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_FUN_003fa628	named-external	link-contract	absolute-target-anchor	0x003fa628			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_FUN_003fa62c	named-external	link-contract	absolute-target-anchor	0x003fa62c			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_FUN_004134f0	named-external	link-contract	absolute-target-anchor	0x004134f0			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_FUN_00426d80	named-external	link-contract	absolute-target-anchor	0x00426d80			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_LAB_0033594e	named-external	link-contract	absolute-target-anchor	0x0033594e			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_LAB_00343b30	named-external	link-contract	absolute-target-anchor	0x00343b30			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_LAB_00343b44	named-external	link-contract	absolute-target-anchor	0x00343b44			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_LAB_00411010	named-external	link-contract	absolute-target-anchor	0x00411010			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
PTR_s_________________00344d30	named-external	link-contract	absolute-target-anchor	0x00344d30			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
REG_GS_CSR	named-external	link-contract	absolute-target-anchor	0x12001000			reviewed-target-or-hardware-address	ps2/progress28_structural_lift_recovered.o	reviewed low-level address binding; no storage bytes emitted
S9xSync_AudioActive	named-external	link-contract	compatibility-storage	0x001ebd40		0x1	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
S9xSync_AudioArg0	named-external	link-contract	compatibility-storage	0x001ebae4		0x4	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
S9xSync_AudioArg1	named-external	link-contract	compatibility-storage	0x001ebae0		0x4	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
S9xSync_AudioStep	named-external	link-contract	semantic-text-alias		snes_dispatch_00176578		reviewed-existing-global-text	ps2/path_helpers_recovered.o	source-model contract bound to an already recovered target entry
S9xSync_AutoFrameLatch	named-external	link-contract	compatibility-storage	0x001baf18		0x4	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
S9xSync_PeriodCounter	named-external	link-contract	compatibility-storage	0x001bbd48		0x8	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
S9xSync_PeriodPrevious	named-external	link-contract	compatibility-storage	0x001bbd50		0x4	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
S9xSync_PeriodValue	named-external	link-contract	compatibility-storage	0x001bbd54		0x4	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
S9xSync_SetVolume	named-external	link-contract	semantic-text-alias		SjPCM_Setvol_001078f8		reviewed-existing-global-text	ps2/path_helpers_recovered.o	source-model contract bound to an already recovered target entry
SQRT	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/progress28_structural_lift_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
SUB_00002214	named-external	link-contract	absolute-target-anchor	0x00002214			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
Settings_SkipFrames	named-program-data	program-data	compatibility-storage	0x0034551c		0x4	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
__ashlti3	compiler-runtime	historical-archive	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/progress28_structural_lift_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
__fixunssfdi	compiler-runtime	historical-archive	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/libgcc_runtime_recovered.o;ps2/progress28_structural_lift_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
__lshrti3	compiler-runtime	historical-archive	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/progress28_structural_lift_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
_auStack_10e4	named-external	link-contract	compatibility-storage			0x8	requester-type-and-minimum-complete-extent	ps2/progress28_structural_lift_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
