symbol	offset_hex	kind	status	source	source_function	function_address	function_extent_hex	function_sha256	matching_evidence	matching_evidence_sha256	source_function_sha256	helper_sha256	claim
DAT_001385ec	0x001385ec	rom-byte-patch	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_00156c60	0x00156c60	0x1870	ccd5f51a7be5548bf5a7ca28ee0ae35b4c11c0417b936de3ef1182953da43471	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	12baecc2fe9b80644a2234e009186b6c55670b858cbf457981043659265e437b	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_001385ed	0x001385ed	rom-byte-patch	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_00156c60	0x00156c60	0x1870	ccd5f51a7be5548bf5a7ca28ee0ae35b4c11c0417b936de3ef1182953da43471	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	12baecc2fe9b80644a2234e009186b6c55670b858cbf457981043659265e437b	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_00407fd5	0x00407fd5	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_00407fd6	0x00407fd6	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_00407fd7	0x00407fd7	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_00407fd8	0x00407fd8	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_00407fd9	0x00407fd9	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_00407fdc	0x00407fdc	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_00407fdd	0x00407fdd	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
DAT_00407fde	0x00407fde	rom-header-byte	ROM_OFFSET_SOURCE_REFACTOR_CLOSED	src/ps2/progress28_structural_lift_recovered.c	snes_p28_001522d8	0x001522d8	0x107c	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	37763845b19b6341431958ccd6a7fe769d0f9c1a836e2dfa235437c14df84c11	c2d81ddc125e4d050a49c40743cb3ce53c6c975d39f2a118524f0e089a073e59	ROM-relative constant, not storage at the numerically equal EE address
