member	status	source_revision	source	define	profile	input_closure_sha256	target_base	text_size_hex	text_sha256	normalized_sha256	target_sha256	relocation_count	symbols_sha256
kernel/SifAllocIopHeap.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/iopheap.c	F_SifAllocIopHeap	ps2lib-ee-gcc-3.2.2-os-default-abi	17b2d9d0e98d5bef2b9acffbe8365dbd837bc0c5edec6e2141721e83ed1fa213	0x0019d63c	0x7c	219bb899c8d1fa62a7d42eb5ca8e28b31c648cdc355911ff8cbfff90289798ba	219bb899c8d1fa62a7d42eb5ca8e28b31c648cdc355911ff8cbfff90289798ba	07f5b59618070e8e60049de6efcca1e8701fb11bf48dbe3053540fff7edee07b	6	01ff6fb18fc0bb681b1b5a6da04e2f290ca12eea5ecdaf5f6a83bfec9e4aaa36
kernel/SifBindRpc.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/sifrpc.c	F_SifBindRpc	ps2lib-ee-gcc-3.2.2-os-default-abi	a596a5bf04355807410d3925d36d36e907d330716c53870d1f673c92ddb0f82b	0x0019c688	0x128	1e1abd1534ae93596d8b7f5c44af8747886fc4bab04e024d271c7c2f9b613c34	1e1abd1534ae93596d8b7f5c44af8747886fc4bab04e024d271c7c2f9b613c34	cf641b0cb74444114f4c13f183f9120f0a83cd6d55ebac6c3c1a6d842f6f65ea	8	a406de6f118be6f965b8ac71e200dfced6d45e6f53239df3a755ccef0c90ca8c
kernel/SifCallRpc.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/sifrpc.c	F_SifCallRpc	ps2lib-ee-gcc-3.2.2-os-default-abi	a596a5bf04355807410d3925d36d36e907d330716c53870d1f673c92ddb0f82b	0x0019c7b0	0x1b0	b3393c3d09540c1f9bbeda78f0e1175576bc8ee3d383c4d1f76919aae541a407	b3393c3d09540c1f9bbeda78f0e1175576bc8ee3d383c4d1f76919aae541a407	5c5eba816039f3ace7896c9b4752e0b6984ed993d4fff5d2b2e39881fa6fbda6	10	caf7492a72f945dd48a46415169fa1f4eece3ce0f34882f856dac32dbb8c95ab
kernel/SifFreeIopHeap.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/iopheap.c	F_SifFreeIopHeap	ps2lib-ee-gcc-3.2.2-os-default-abi	17b2d9d0e98d5bef2b9acffbe8365dbd837bc0c5edec6e2141721e83ed1fa213	0x0019d6b8	0x88	45248c648c93fc7583024c53289a618bc09a7cace34857cd9ebcf226ddcee874	45248c648c93fc7583024c53289a618bc09a7cace34857cd9ebcf226ddcee874	3c834a1fa5b36df85bc5998fc7d67b1cf74650f1f177f2fd6e50025edb91c812	6	d53df0831b0d37429e0ddd329f1f1e5aed83abb7d1d5fbbaf1c311f8d2aac7d5
kernel/SifInitIopHeap.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/iopheap.c	F_SifInitIopHeap	ps2lib-ee-gcc-3.2.2-os-default-abi	17b2d9d0e98d5bef2b9acffbe8365dbd837bc0c5edec6e2141721e83ed1fa213	0x0019f9e8	0xc0	494d0e386a8f8ba672481f8420a4786aace94ee981c806ad0a97559e14c7f64d	494d0e386a8f8ba672481f8420a4786aace94ee981c806ad0a97559e14c7f64d	35ba2314ac67dca4a6f9102d2804cef1e9e23a55ce05c27a8211db4786405d4f	10	ea13d3e3bcdb236ae2efd0f5e696e827c158eb7966bf8d791dc81424f096d2bd
kernel/SifIopReset.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/iopcontrol.c	F_SifIopReset	ps2lib-ee-gcc-3.2.2-os-default-abi	fbf6435fa537b52614a76a61eeaeec89023c2a24cade7e6eab47d95319a5325c	0x0019d740	0x10c	08905bcbfe7c7590ba1ef2601eec7c376b8b47e81774c174377d03a556f275f7	08905bcbfe7c7590ba1ef2601eec7c376b8b47e81774c174377d03a556f275f7	0276aef0f041d32f59609ce960505882b3b049830740f5ef92f694833abb8afd	11	6cd41138d008d65f15b0082214924e74d94a0faa71ae3a5deb9015d00acdd410
kernel/SifLoadFileInit.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/loadfile.c	F_SifLoadFileInit	ps2lib-ee-gcc-3.2.2-os-default-abi	666e3d73eecb1328670608b43d46afb2067475e8ec215452196d36e2bf8db124	0x0019fd20	0xbc	4b49480af677b2fd6cad020ad6210159b52bfbb8fda4923ba5705c4e41a368bb	4b49480af677b2fd6cad020ad6210159b52bfbb8fda4923ba5705c4e41a368bb	2d93ad69e51a90ba797bf3054d8e4ba0c9e33cc346ac6a05096b9f6950989bde	9	e1e8dfac07cf0079e62192a76f03e63b103724351028519fababab13c2d2b0e9
kernel/SifLoadModule.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/loadfile.c	F_SifLoadModule	ps2lib-ee-gcc-3.2.2-os-default-abi	666e3d73eecb1328670608b43d46afb2067475e8ec215452196d36e2bf8db124	0x0019d600	0x20	b8a76ed220dc2111dd3c7cb9ae0cca34a9d5b15de4339f514baee3b9a68775ee	b8a76ed220dc2111dd3c7cb9ae0cca34a9d5b15de4339f514baee3b9a68775ee	672414e8c9a73b05628729e03d115edd78431f19d5b50e52690e6b22175ea49b	1	611663fba1ec4385ff2ac098181c65a08c1c8d52d118cc02a8fdb845a3f79c82
kernel/SifLoadModuleBuffer.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/loadfile.c	F_SifLoadModuleBuffer	ps2lib-ee-gcc-3.2.2-os-default-abi	666e3d73eecb1328670608b43d46afb2067475e8ec215452196d36e2bf8db124	0x0019d620	0x1c	636cf6d6ba9b8b3c8ed59d83de9279374db4101f28427ccad95ad9ec80aef417	636cf6d6ba9b8b3c8ed59d83de9279374db4101f28427ccad95ad9ec80aef417	ce1da5c59125cac4cc01371568346e35be1a0e1f5024ffe881044b4367cf75ef	1	e9edb30e383c92cfbe7df612f0a734bbaf0ff319b7de27162bbea56357b28fdc
kernel/SifRpcMain.o	MEMBER_TEXT_EXACT	a80df908256955382f102278400b5d713552dbce	ee/kernel/src/sifrpc.c	F_SifRpcMain	ps2lib-ee-gcc-3.2.2-os-default-abi	a596a5bf04355807410d3925d36d36e907d330716c53870d1f673c92ddb0f82b	0x0019c960	0x410	94d16738956f7be4225404e8ae399e33c21828b37a100c59df0f044b5f993a26	e3be9e12d38f025ffcb0c10531e8e8cbeec65169ec1025ed8d49ba7e94c777db	aeb109225615dade065f751bf8bf002d37799c994bac4ed548c2d072e8e656b2	37	4fe84f149e4b945fb64516af9814084e5170f21074c035809582067823ea4a68
