symbol	status	member	member_symbol	target_address	member_offset_hex	target_symbol_size_hex	member_symbol_size_hex	target_span_sha256	canonical_symbol	requesters	detail
FlushCache_0019ceb0	MEMBER_TEXT_EXACT	syscall/FlushCache.o	FlushCache	0x0019ceb0	0x0	0x10	0x10	5981c1e46292010b462c1aa96986db0e142b6d8d72e68d4ed765af16db6ee74f	FlushCache	ps2/gs_fifo_recovered.o;ps2/libmc_recovered.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifAddCmdHandler	MEMBER_TEXT_EXACT	kernel/sif_cmd_addhandler.o	SifAddCmdHandler	0x0019f544	0x0	0x38	0x38	c2f80326dff0601f515ae26ea00946d9792f755ac697478738153c9a1b0bbd61	SifAddCmdHandler_0019f544	ps2/sifrpc_recovered.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifAllocIopHeap	MEMBER_TEXT_EXACT	kernel/SifAllocIopHeap.o	SifAllocIopHeap	0x0019d63c	0x0	0x7c	0x7c	07f5b59618070e8e60049de6efcca1e8701fb11bf48dbe3053540fff7edee07b	SifAllocIopHeap_0019d63c	ps2/load_module_buffer.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifBindRpc	MEMBER_TEXT_EXACT	kernel/SifBindRpc.o	SifBindRpc	0x0019c688	0x0	0x128	0x128	cf641b0cb74444114f4c13f183f9120f0a83cd6d55ebac6c3c1a6d842f6f65ea	SifBindRpc_0019c688	ps2/cdvd_rpc_historical_recovered.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifCallRpc	MEMBER_TEXT_EXACT	kernel/SifCallRpc.o	SifCallRpc	0x0019c7b0	0x0	0x1b0	0x1b0	5c5eba816039f3ace7896c9b4752e0b6984ed993d4fff5d2b2e39881fa6fbda6	SifCallRpc_0019c7b0	ps2/cdvd_rpc_historical_recovered.o;ps2/fileio_recovered.o;ps2/loadfile_iop_recovered.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifExitCmd	MEMBER_TEXT_EXACT	kernel/sif_cmd_main.o	SifExitCmd	0x0019f510	0x234	0x34	0x34	506e8396c819b38ca18ae11842ada3ed3ee38043cb91025212e904cd7ec6d8c2	SifExitCmd_0019f510	ps2/sifrpc_recovered.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifFreeIopHeap	MEMBER_TEXT_EXACT	kernel/SifFreeIopHeap.o	SifFreeIopHeap	0x0019d6b8	0x0	0x88	0x88	3c834a1fa5b36df85bc5998fc7d67b1cf74650f1f177f2fd6e50025edb91c812	SifFreeIopHeap_0019d6b8	ps2/load_module_buffer.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifGetSreg	MEMBER_TEXT_EXACT	kernel/sif_sreg_get.o	SifGetSreg	0x0019f57c	0x0	0x18	0x18	4e3971eaa971309f71f9696d73f45d98ca34a98b9c4f70e7fd14c314facf45bc	SifGetSreg_0019f57c	ps2/sifrpc_recovered.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifInitCmd	MEMBER_TEXT_EXACT	kernel/sif_cmd_main.o	SifInitCmd	0x0019f304	0x28	0x20c	0x20c	e207c5fe3ed0b0f98864466c47e77d7d7bfddc2544d8d93cb36298ccf5722238	SifInitCmd_0019f304	ps2/sifrpc_recovered.o	complete member text and symbol offset; final relocation values/data placement remain separate
SifInitIopHeap_recovered	MEMBER_TEXT_EXACT	kernel/SifInitIopHeap.o	SifInitIopHeap	0x0019f9e8	0x0	0xc0	0xc0	35ba2314ac67dca4a6f9102d2804cef1e9e23a55ce05c27a8211db4786405d4f	SifInitIopHeap_0019f9e8	ps2/loadfile_iop_recovered.o	complete member text and symbol offset; final relocation values/data placement remain separate
