alias	target_address	status	canonical_symbol	evidence	canonical_source	canonical_object	requesters	detail
CMemory_LoadROM_001513bc	0x001513bc	PROVED	snes_p28_001513bc	unique-address-suffix-global-text	src/ps2/progress28_structural_lift_recovered.c	ps2/progress28_structural_lift_recovered.o	app/main_flow_recovered.o	
FUN_001005b0	0x001005b0	PROVED	snes_p11_001005b0	progress-name-global-text	src/ps2/progress11_frontend_recovered.c	ps2/progress11_frontend_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101858	0x00101858	PROVED	snes_leaf_00101858	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101860	0x00101860	PROVED	snes_leaf_00101860	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101878	0x00101878	PROVED	snes_leaf_00101878	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101880	0x00101880	PROVED	snes_leaf_00101880	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101888	0x00101888	PROVED	snes_leaf_00101888	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_001018fc	0x001018fc	PROVED	snes_leaf_001018fc	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101904	0x00101904	PROVED	snes_leaf_00101904	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_0010190c	0x0010190c	PROVED	snes_leaf_0010190c	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101914	0x00101914	PROVED	snes_leaf_00101914	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_0010191c	0x0010191c	PROVED	snes_leaf_0010191c	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101924	0x00101924	PROVED	snes_p13_path_wrapper_00101924	progress-name-global-text	src/snes9x/progress13_frontend_more_recovered.c	snes9x/progress13_frontend_more_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_001019a0	0x001019a0	PROVED	snes_leaf_001019a0	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_001019a8	0x001019a8	PROVED	snes_p25_001019a8	unique-address-suffix-global-text	src/ps2/progress25_small_core_helpers_recovered.c	ps2/progress25_small_core_helpers_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101b04	0x00101b04	PROVED	snes_p11_00101b04	progress-name-global-text	src/ps2/progress11_frontend_recovered.c	ps2/progress11_frontend_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101b64	0x00101b64	PROVED	snes_p25_00101b64	unique-address-suffix-global-text	src/ps2/progress25_small_core_helpers_recovered.c	ps2/progress25_small_core_helpers_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00101e8c	0x00101e8c	PROVED	snes_p20_00101e8c	progress-name-global-text	src/ps2/progress11_frontend_recovered.c	ps2/progress11_frontend_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00103b34	0x00103b34	PROVED	snes_p22_00103b34	unique-address-suffix-global-text	src/ps2/progress22_more_small_helpers_recovered.c	ps2/progress22_more_small_helpers_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00103c7c	0x00103c7c	PROVED	snes_dispatch_00103c7c	progress-name-global-text	src/ps2/small_dispatch_recovered.c	ps2/small_dispatch_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00103cb0	0x00103cb0	PROVED	snes_leaf_00103cb0	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00103cd4	0x00103cd4	PROVED	snes_p21_00103cd4	unique-address-suffix-global-text	src/ps2/progress21_small_helpers_recovered.c	ps2/progress21_small_helpers_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_00103d90	0x00103d90	PROVED	snes_p12_00103d90	progress-name-global-text	src/ps2/progress12_io_state_recovered.c	ps2/progress12_io_state_recovered.o	ps2/progress28_structural_lift_recovered.o	
FUN_0010421c	0x0010421c	PROVED	snes_leaf_0010421c	progress-name-global-text	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o	ps2/progress28_structural_lift_recovered.o	
