alias	decision	canonical_symbol	evidence	evidence_path	evidence_token	detail
FUN_00105898	PROVED	S9xSyncSpeed	reviewed-semantic-identity-global-text	analysis/source_promotions.csv	S9xSyncSpeed	typed source promotion identifies the target control flow as the exported S9xSyncSpeed model
FUN_0010a840	PROVED	apu_buffer_allocator_0010a840	reviewed-semantic-identity-global-text	analysis/matching/hunt400-v9-object-provenance.tsv	apu_buffer_allocator	historical S9xInitAPU evidence selects the allocator and rejects the integration-only wrapper
FUN_00142a78	BLOCKED		reviewed-source-boundary-blocker	analysis/matching/hunt1041-v49-validated-20.tsv	S9xGraphicsInit	the exported lookup-table helper models only an interior block of the full graphics initializer
FUN_001a5cc0	BLOCKED		reviewed-historical-archive-blocker	analysis/matching/hunt1000plus-v45-validated-runtime.tsv	unwind-dw2-fde.o	the matched entry belongs to a historical libgcc archive member not exported by the source aggregate
FUN_001a5dd0	BLOCKED		reviewed-historical-archive-blocker	analysis/matching/hunt1000plus-v34-validated-16.tsv	unwind-dw2-fde.o	the matched entry belongs to a historical libgcc archive member not exported by the source aggregate
FUN_001a91b0	BLOCKED		reviewed-historical-archive-blocker	analysis/matching/hunt1000plus-v45-validated-runtime.tsv	eh_personality.o	the matched helper belongs to the historical libsupc++ personality archive member
FUN_001a9268	BLOCKED		reviewed-historical-archive-blocker	analysis/matching/cpp-eh-runtime-small-listing-report.md	read_uleb128_eh_personality	the matched helper belongs to the historical libsupc++ personality archive member
FUN_001a92a8	BLOCKED		reviewed-historical-archive-blocker	analysis/matching/cpp-eh-runtime-small-listing-report.md	read_sleb128_eh_personality	the matched helper belongs to the historical libsupc++ personality archive member
FUN_001a9308	BLOCKED		reviewed-historical-archive-blocker	analysis/matching/hunt1000plus-v45-validated-runtime.tsv	eh_personality.o	the matched helper belongs to the historical libsupc++ personality archive member
FUN_001a9d08	BLOCKED		reviewed-historical-archive-blocker	analysis/matching/cpp-eh-runtime-small-listing-report.md	cpp_unexpected_helper	the matched unexpected wrapper has no equivalent exported source-aggregate entry yet
FUN_001aab20	PROVED	snes_class_type_info_do_upcast3	reviewed-semantic-identity-global-text	analysis/matching/hunt1000plus-v45-validated-runtime.tsv	class_type_info_do_upcast	the historical libsupc++ match identifies the exported three-argument protected upcast model
