address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	object_sha256
0x00107d44	amigaModPlay_00107d44	audio-rpc	cached-mips-object-v17	/root/SNESstation-Decomp/build/matching/progress55-screen300c/objects/pgen__pgen-initial__amigamod_rpc.c__pgen-os.o	cached	safe-name-alias-strict; alias=recovered-address-suffix; demangled=amigaModPlay	build/matching/progress55-screen300c/objects/pgen__pgen-initial__amigamod_rpc.c__pgen-os.o	amigaModPlay	112	exact-next-boundary	MATCH	0	False	True		856c56a167b873779866666d311aa8c0401ee75e5c994f7c3303530e73067459
0x0010a768	snes_leaf_0010a768	address-leaf	cached-snes9x-1.42-v9	/root/SNESstation-Decomp/build/matching/hunt400v9/objects/snes9x-1.42/838bba34c8e1c940411d.o	cached-v9	coherent-exact-cluster; cluster-rule=anchored2; load_base=0x00108d58; cluster-symbols=4; cluster-targets=4; cluster-identities=4; cluster-exact-bytes=432; matching-before-round=2; demangled=GetResult1(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)	build/matching/hunt400v9/objects/snes9x-1.42/838bba34c8e1c940411d.o	_Z10GetResult1jjjjj	68	exact-next-boundary	MATCH	0	True	True		b21e90181435da320e0d9de43d3e0a6e36c085bd224ba71ea028ae131319ae32
0x0010a7fc	snes_leaf_0010a7fc	address-leaf	cached-snes9x-1.42-v9	/root/SNESstation-Decomp/build/matching/hunt400v9/objects/snes9x-1.42/838bba34c8e1c940411d.o	cached-v9	coherent-exact-cluster; cluster-rule=anchored2; load_base=0x00108d58; cluster-symbols=4; cluster-targets=4; cluster-identities=4; cluster-exact-bytes=432; matching-before-round=2; demangled=GetResult(unsigned int, unsigned int, unsigned int, unsigned int)	build/matching/hunt400v9/objects/snes9x-1.42/838bba34c8e1c940411d.o	_Z9GetResultjjjj	68	exact-next-boundary	MATCH	0	True	True		b21e90181435da320e0d9de43d3e0a6e36c085bd224ba71ea028ae131319ae32
0x00129250	snes_p16_00129250	snes-core-dsp	cached-hunt500plus-v11-object	/root/SNESstation-Decomp/build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/8074999d125528a1f59c.o	cached-v11	coherent-exact-cluster; cluster-rule=independent; load_base=0x001166f8; cluster-symbols=5; cluster-targets=5; cluster-identities=5; cluster-exact-bytes=2320; matching-before-round=1; demangled=ADC8()	build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/8074999d125528a1f59c.o	_Z4ADC8v	464	exact-next-boundary	MATCH	0	False	True		1dedb26ad2c127f8d059a1d1551257a977259372e983e01c1d9b5ab03d75db20
0x00129420	snes_p17_00129420	snes-core-dsp	cached-hunt500plus-v11-object	/root/SNESstation-Decomp/build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/8074999d125528a1f59c.o	cached-v11	coherent-exact-cluster; cluster-rule=independent; load_base=0x001166f8; cluster-symbols=5; cluster-targets=5; cluster-identities=5; cluster-exact-bytes=2320; matching-before-round=1; demangled=ADC16()	build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/8074999d125528a1f59c.o	_Z5ADC16v	676	exact-next-boundary	MATCH	0	False	True		1dedb26ad2c127f8d059a1d1551257a977259372e983e01c1d9b5ab03d75db20
0x001296c4	snes_p17_001296c4	snes-core-dsp	cached-hunt500plus-v11-object	/root/SNESstation-Decomp/build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/8074999d125528a1f59c.o	cached-v11	coherent-exact-cluster; cluster-rule=independent; load_base=0x001166f8; cluster-symbols=5; cluster-targets=5; cluster-identities=5; cluster-exact-bytes=2320; matching-before-round=1; demangled=SBC16()	build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/8074999d125528a1f59c.o	_Z5SBC16v	632	exact-next-boundary	MATCH	0	False	True		1dedb26ad2c127f8d059a1d1551257a977259372e983e01c1d9b5ab03d75db20
0x0012993c	snes_p17_0012993c	snes-core-dsp	cached-hunt500plus-v11-object	/root/SNESstation-Decomp/build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/8074999d125528a1f59c.o	cached-v11	coherent-exact-cluster; cluster-rule=independent; load_base=0x001166f8; cluster-symbols=5; cluster-targets=5; cluster-identities=5; cluster-exact-bytes=2320; matching-before-round=1; demangled=SBC8()	build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/8074999d125528a1f59c.o	_Z4SBC8v	440	exact-next-boundary	MATCH	0	False	True		1dedb26ad2c127f8d059a1d1551257a977259372e983e01c1d9b5ab03d75db20
0x00156934	CMemory_StaticRAMSize_00156934	snes9x-memory	cached-snes9x-1.42-v9	/root/SNESstation-Decomp/build/matching/hunt400v9/objects/snes9x-1.42/de50deaf343dbcb40765.o	cached-v9	safe-name-alias-strict; alias=recovered-address-suffix; demangled=CMemory::StaticRAMSize()	build/matching/hunt400v9/objects/snes9x-1.42/de50deaf343dbcb40765.o	_ZN7CMemory13StaticRAMSizeEv	96	exact-next-boundary	MATCH	0	False	True		93ddd3cb6d3f2f16de97ad63cb5537cd4af5d7d62a8616459cdd08cf3e7d3b99
0x00156994	CMemory_Size_00156994	snes9x-memory	cached-snes9x-1.42-v9	/root/SNESstation-Decomp/build/matching/hunt400v9/objects/snes9x-1.42/de50deaf343dbcb40765.o	cached-v9	safe-name-alias-strict; alias=recovered-address-suffix; demangled=CMemory::Size()	build/matching/hunt400v9/objects/snes9x-1.42/de50deaf343dbcb40765.o	_ZN7CMemory4SizeEv	112	exact-next-boundary	MATCH	0	False	True		93ddd3cb6d3f2f16de97ad63cb5537cd4af5d7d62a8616459cdd08cf3e7d3b99
0x0016f10c	snes_p16_0016f10c	cpu-audio-runtime	cached-hunt500plus-v11-object	/root/SNESstation-Decomp/build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/bf86fb9248732965ebfc.o	cached-v11	coherent-exact-cluster; cluster-rule=anchored2; load_base=0x0015f188; cluster-symbols=6; cluster-targets=6; cluster-identities=6; cluster-exact-bytes=2576; matching-before-round=2; demangled=ADC8()	build/matching/hunt500plusv11/objects/snes9x-1.42/base-os-short/bf86fb9248732965ebfc.o	_Z4ADC8v	464	exact-next-boundary	MATCH	0	False	True		a0511642570769291f8017475236d03cbc6fc425bdbf772045827847b27d5293
