address	name	area	provenance	source	profile	detail	object	object_symbol	object_symbol_size	object_offset	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	object_sha256	cache_key	target_gate	target_span_sha256	target_sources
0x001005b0	snes_p11_001005b0	frontend	snesstation-v0.23-recovered	matching/candidates/hunt1041_v48.c	o2	recovered-source-strict; symbol-range=0x0..0x3c; full-symbol-size=60; relocations=8	build/matching/hunt1041-v48-closure/recovered/objects/o2/matching_candidates_hunt1041_v48.c-55db05e358f15229.o	v48_001005b0	60	0	60	exact-next-boundary	MATCH	0	False	True		0f30104077ca40776a1c26b22b13f2c14ce5458101268a9216a656b8b25a79ae	55db05e358f1522925f6e6948729b32b1f5f6a60b47ec6aeca5816e2fc5b9cbc	committed-objdump-listings+bounded-zero-gaps	572c3f433721c24e0b905f969a9bcbbabb54245e35f0f337e5b4d1003443e98d	analysis/functions/progress11_short_targets.asm
0x00101924	snes_p13_path_wrapper_00101924	frontend	snesstation-v0.23-recovered	matching/candidates/hunt1041_v48.c	o2	recovered-source-strict; symbol-range=0x0..0x7c; full-symbol-size=124; relocations=4	build/matching/hunt1041-v48-closure/recovered/objects/o2/matching_candidates_hunt1041_v48.c-55db05e358f15229.o	v48_00101924	124	0	124	exact-next-boundary	MATCH	0	False	True		0f30104077ca40776a1c26b22b13f2c14ce5458101268a9216a656b8b25a79ae	55db05e358f1522925f6e6948729b32b1f5f6a60b47ec6aeca5816e2fc5b9cbc	committed-objdump-listings+bounded-zero-gaps	5a46c6dbdf893391a2d3717761c46d23caf3a95de862a7e2107664267da0bc8b	analysis/functions/progress13_targets.asm
0x00105750	build_sram_path_00105750	frontend	snesstation-v0.23-recovered	src/ps2/path_helpers_recovered.c	os	recovered-source-strict; symbol-range=0x0..0xac; full-symbol-size=172; relocations=24	build/matching/hunt1041-v48-closure/recovered/objects/os/src_ps2_path_helpers_recovered.c-892861e499ab06b9.o	build_sram_path_00105750	172	0	172	exact-next-boundary	MATCH	0	False	True		fe795360f8c5194947fb8cac6bb2dbfc0dc023085e956bf1f47e893f75ffb079	892861e499ab06b96983ef216c9639894c643a312fd6bacc73612969a643bf3f	committed-objdump-listings+bounded-zero-gaps	f182d568f0b05dbefec7920de3f8b6d346100f7900c034e9495eb536544a53bf	analysis/functions/path_config_00105750.asm
0x001059cc	_makepath	frontend-core	snesstation-v0.23-recovered	src/ps2/path_helpers_recovered.c	os	recovered-source-strict; historical-identity=_makepath; symbol-range=0x0..0x11c; full-symbol-size=284; relocations=13	build/matching/hunt1041-v48-closure/recovered/objects/os/src_ps2_path_helpers_recovered.c-892861e499ab06b9.o	_makepath	284	0	284	exact-next-boundary	MATCH	0	False	True		fe795360f8c5194947fb8cac6bb2dbfc0dc023085e956bf1f47e893f75ffb079	892861e499ab06b96983ef216c9639894c643a312fd6bacc73612969a643bf3f	committed-objdump-listings+bounded-zero-gaps	a1ff7f953465273009e4bec6a9c1bf937896b585de9e4737b9983189ecabfc01	analysis/functions/path_config_00105750.asm
0x00105cb8	snes_p11_00105cb8	audio	snesstation-v0.23-recovered	matching/candidates/hunt1041_v48.c	os	recovered-source-strict; symbol-range=0x0..0x78; full-symbol-size=120; relocations=8	build/matching/hunt1041-v48-closure/recovered/objects/os/matching_candidates_hunt1041_v48.c-f4c2e56b5ebd913a.o	v48_00105cb8	120	0	120	exact-next-boundary	MATCH	0	False	True		6608e230246fdd211ee14de577744bb4c1e24e64114bdd55ffd2ac98ceefdfd5	f4c2e56b5ebd913a60f0d33c3613884beea2305427f365a4e43770ff20a6d943	committed-objdump-listings+bounded-zero-gaps	4452db76f70775cc23fdbec39b64f0a734b5e3f8b6b74485d77cff14b8b1f36d	analysis/functions/path_config_00105750.asm;analysis/functions/progress11_short_targets.asm
0x00105d78	snes_dispatch_00105d78	dispatch-leaf	snesstation-v0.23-recovered	matching/candidates/hunt1041_v48.c	os	recovered-source-strict; symbol-range=0x0..0x8c; full-symbol-size=140; relocations=13	build/matching/hunt1041-v48-closure/recovered/objects/os/matching_candidates_hunt1041_v48.c-f4c2e56b5ebd913a.o	v48_00105d78	140	0	140	exact-next-boundary	MATCH	0	False	True		6608e230246fdd211ee14de577744bb4c1e24e64114bdd55ffd2ac98ceefdfd5	f4c2e56b5ebd913a60f0d33c3613884beea2305427f365a4e43770ff20a6d943	committed-objdump-listings+bounded-zero-gaps	62cb77005265c3bfa329714fa2ab9125037a241b6646ee916205970e22971736	analysis/functions/path_config_00105750.asm
0x00106054	snes_p11_00106054	frontend	snesstation-v0.23-recovered	matching/candidates/hunt1041_v48.c	os	recovered-source-strict; symbol-range=0x0..0x88; full-symbol-size=136; relocations=5	build/matching/hunt1041-v48-closure/recovered/objects/os/matching_candidates_hunt1041_v48.c-f4c2e56b5ebd913a.o	v48_00106054	136	0	136	exact-next-boundary	MATCH	0	False	True		6608e230246fdd211ee14de577744bb4c1e24e64114bdd55ffd2ac98ceefdfd5	f4c2e56b5ebd913a60f0d33c3613884beea2305427f365a4e43770ff20a6d943	committed-objdump-listings+bounded-zero-gaps	d5ae1c5af5bc90a92c4a9e73b3209e654387beda7ec97769393caffaef245f23	analysis/functions/progress11_short_targets.asm
0x0014308c	snes_p11_0014308c	renderer	snesstation-v0.23-recovered	matching/candidates/hunt1041_v48.c	os	recovered-source-strict; symbol-range=0x0..0x90; full-symbol-size=144; relocations=4	build/matching/hunt1041-v48-closure/recovered/objects/os/matching_candidates_hunt1041_v48.c-f4c2e56b5ebd913a.o	v48_0014308c	144	0	144	exact-next-boundary	MATCH	0	False	True		6608e230246fdd211ee14de577744bb4c1e24e64114bdd55ffd2ac98ceefdfd5	f4c2e56b5ebd913a60f0d33c3613884beea2305427f365a4e43770ff20a6d943	committed-objdump-listings+bounded-zero-gaps	867422e025ce52f8f36c60b13e8742959b21c4c3c67b9dc5a8c5f1a59ba3f872	analysis/functions/progress11_short_targets.asm
0x001591a8	snes_p13_palette_expand_001591a8	ppu	snes9x-1.41-1-official	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/ppu.cpp	snes9x-1.41-1-os-short-bgr555	historical-symbol-strict; historical-identity=S9xFixColourBrightness; pixel-format=BGR555; symbol-range=0x0..0xc0; full-symbol-size=192; relocations=12	build/matching/hunt1041-v48-closure/historical/snes-ppu.o	S9xFixColourBrightness	192	0	192	exact-next-boundary	MATCH	0	False	True		e849d9eba93e30a4393e6a2022ae1d443ea931cf25c7ceb3f6af17778ab084ba	b9464f9da8711dfb3d7d589d31c7b3cfa95a42e900e5e26979bd8f578626dea0	committed-objdump-listings+bounded-zero-gaps	31309e011a212ce11fe156e38c0ecfcec68efac5d26be4c8250bea3fce46434d	analysis/functions/progress13_targets.asm
0x00172174	snes_p12_00172174	frontend-io	snesstation-v0.23-recovered	matching/candidates/hunt1041_v48.c	o2	recovered-source-strict; symbol-range=0x0..0x78; full-symbol-size=120; relocations=6	build/matching/hunt1041-v48-closure/recovered/objects/o2/matching_candidates_hunt1041_v48.c-55db05e358f15229.o	v48_00172174	120	0	120	exact-next-boundary	MATCH	0	False	True		0f30104077ca40776a1c26b22b13f2c14ce5458101268a9216a656b8b25a79ae	55db05e358f1522925f6e6948729b32b1f5f6a60b47ec6aeca5816e2fc5b9cbc	committed-objdump-listings+bounded-zero-gaps	9e15b054fe180d9f5c15d4360272c28d7ac488adbebb577abfea76b09997cdaa	analysis/functions/progress12_targets.asm
