address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	object_sha256	cache_key	target_gate	target_span_sha256
0x0010a934	snes_p16_0010a934	frontend-core	snes9x-1.41-1-ps2-abi32-zlib	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/APU.CPP	snes9x-1.41-1-os-short-abi32-zlib	historical-symbol-strict; corrected-identity=S9xResetAPU	build/matching/hunt1041-v52-closure/objects/apu-short.o	S9xResetAPU	1044	exact-next-boundary	MATCH	0	False	True		f467e9a1568fe85e929550a9a0a4bdd2e7e96d80dca8fda82116dd07848822ee	e173807bf67137fdb7081abdc0290296257c600336aec9557927a6e9029f8933	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	7b9b22e9e4219577dc0519b524ba93e24e2829c425bdbcfe6b7213c47f245ac0
0x001434ac	S9xEndScreenRefresh	renderer	snes9x-1.41-1-snesstation-renderer	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/GFX.CPP	snes9x-1.41-1-os-short-abi32-zlib-nofps	historical-contiguous-symbols-strict; delta=display-frame-rate-overlay-removed	build/matching/hunt1041-v52-closure/objects/gfx-short.o	S9xEndScreenRefresh+S9xSetInfoString	480	exact-next-boundary	MATCH	0	False	True		39cc411c76c3578009b0631ba502e36868fef8c18d15ab833adb05a245c4f1cb	da4d3de5213c4aa0ff0386ad5fbd86218c70ee0319d0ad86e009027467aac190	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	8e1600ec60e2e496eb0a915feb6fe1639da6a7f00e795fea2dbcf0edb796792d
0x0014ec54	S9xUpdateScreen	renderer	snes9x-1.41-1-ps2-abi32-zlib	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/GFX.CPP	snes9x-1.41-1-os-short-abi32-zlib-nofps	historical-symbol-strict; identity=S9xUpdateScreen; byte-count-abi=uint32	build/matching/hunt1041-v52-closure/objects/gfx-short.o	S9xUpdateScreen	6712	exact-next-boundary	MATCH	0	False	True		39cc411c76c3578009b0631ba502e36868fef8c18d15ab833adb05a245c4f1cb	da4d3de5213c4aa0ff0386ad5fbd86218c70ee0319d0ad86e009027467aac190	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	27920e8bbaf675d37d956c24879afac063df389ed960770ee639320c48d3779e
0x001513bc	CMemory_LoadROM	memory	snes9x-1.41-1-snesstation-memory	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-abi32-zlib-fio	historical-symbol-strict; identity=CMemory::LoadROM; stream-profile=zlib	build/matching/hunt1041-v52-closure/objects/memmap-short.o	_ZN7CMemory7LoadROMEPKc	3324	exact-next-boundary	MATCH	0	False	True		a6e18380f73e94abeb57e04da9d283cfacde8e13d5dace1eca43ef1e5eb4b8b9	bfe9e75d506b20c7e682bb994c67648abbc9585dd68c3017afebdf2c34726879	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	6239824cf4772b39bebc112b1e8f4ec711b8e0fbf7366ee2bee95c8cd57b4239
0x001522d8	CMemory_InitROM	memory-ppu	snes9x-1.41-1-ps2-abi32-zlib	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-abi32-zlib-fio	historical-symbol-strict; identity=CMemory::InitROM; byte-count-abi=uint32	build/matching/hunt1041-v52-closure/objects/memmap-short.o	_ZN7CMemory7InitROMEh	4220	exact-next-boundary	MATCH	0	False	True		a6e18380f73e94abeb57e04da9d283cfacde8e13d5dace1eca43ef1e5eb4b8b9	bfe9e75d506b20c7e682bb994c67648abbc9585dd68c3017afebdf2c34726879	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c
0x00153354	CMemory_LoadSRAM	memory	snes9x-1.41-1-snesstation-fio	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-abi32-zlib-fio	historical-source-variant-strict; identity=CMemory::LoadSRAM; io=fioOpen/fioRead/fioClose	build/matching/hunt1041-v52-closure/objects/memmap-short.o	_ZN7CMemory8LoadSRAMEPKc	356	exact-next-boundary	MATCH	0	False	True		a6e18380f73e94abeb57e04da9d283cfacde8e13d5dace1eca43ef1e5eb4b8b9	bfe9e75d506b20c7e682bb994c67648abbc9585dd68c3017afebdf2c34726879	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	357a62bcf17a61b0f46ab6112fe707ecd7f1f18a1eb0e22891a8592e8b79b997
0x001534b8	CMemory_SaveSRAM	memory	snes9x-1.41-1-snesstation-fio	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-abi32-zlib-fio	historical-source-variant-strict; identity=CMemory::SaveSRAM; io=fioOpen/fioWrite/fioClose	build/matching/hunt1041-v52-closure/objects/memmap-short.o	_ZN7CMemory8SaveSRAMEPKc	264	exact-next-boundary	MATCH	0	False	True		a6e18380f73e94abeb57e04da9d283cfacde8e13d5dace1eca43ef1e5eb4b8b9	bfe9e75d506b20c7e682bb994c67648abbc9585dd68c3017afebdf2c34726879	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	6a3f1667ad54631e1123bc4e9eb6f47d14bf288e29cc9e26bc40b0ee40f48b8a
0x00156c60	CMemory_ApplyROMFixes	memory-ppu	snes9x-1.41-1-snesstation-memory	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/MEMMAP.CPP	snes9x-1.41-1-os-short-fast-lsb-abi32-zlib-fio	historical-source-variant-strict; identity=CMemory::ApplyROMFixes; delta=fixed-22-byte-copy	build/matching/hunt1041-v52-closure/objects/memmap-short.o	_ZN7CMemory13ApplyROMFixesEv	6256	exact-next-boundary	MATCH	0	False	True		a6e18380f73e94abeb57e04da9d283cfacde8e13d5dace1eca43ef1e5eb4b8b9	bfe9e75d506b20c7e682bb994c67648abbc9585dd68c3017afebdf2c34726879	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	ccd5f51a7be5548bf5a7ca28ee0ae35b4c11c0417b936de3ef1182953da43471
0x0015a5f0	snes_p16_0015a5f0	memory-ppu	snes9x-1.41-1-snesstation-ppu	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/ppu.cpp	snes9x-1.41-1-os-short-abi32-zlib-noprints	historical-source-variant-strict; corrected-identity=S9xGetPPU; delta=diagnostic-fprintf-removed	build/matching/hunt1041-v52-closure/objects/ppu-short.o	S9xGetPPU	1916	exact-next-boundary	MATCH	0	False	True		c7cfc5621c3cd73130798ece9bfce862fdc62db53d9962ae6fb291176614e00a	afa32a51a0277753d3fa72ebf61e55000d5644e983a6ea017296cd948993b731	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	665f0c485c5b840a0c6bf2adbb7270537921f4976b6dcc0c346fc65efe349850
0x0015ad6c	snes_p17_0015ad6c	memory-ppu	snes9x-1.41-1-snesstation-ppu	build/upstream/hunt1000plus-v47-snes/source-1.41-1/snes9x-1.41-1-src/snes9x/ppu.cpp	snes9x-1.41-1-os-short-abi32-zlib-noprints	historical-source-variant-strict; corrected-identity=S9xSetCPU; delta=diagnostic-fprintf-removed	build/matching/hunt1041-v52-closure/objects/ppu-short.o	S9xSetCPU	3844	exact-next-boundary	MATCH	0	False	True		c7cfc5621c3cd73130798ece9bfce862fdc62db53d9962ae6fb291176614e00a	afa32a51a0277753d3fa72ebf61e55000d5644e983a6ea017296cd948993b731	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	3990a1e071cda330fd6b538ed2f2a3aaadf72a68801f02b275ea1fd1e8bd411f
