address	name	area	work_packet	working_translation_unit	priority	source_model	matching_gate	next_action
0x00100114	snes_p17_00100114	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x0010038c	snes_p16_0010038c	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x001005ec	snes_p16_001005ec	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x001008dc	snes_p16_001008dc	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00100e78	snes_p16_00100e78	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x001019a8	snes_p16_001019a8	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress22_more_small_helpers_recovered.c;src/ps2/progress25_small_core_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00101b64	snes_p16_00101b64	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress22_more_small_helpers_recovered.c;src/ps2/progress25_small_core_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00101ef0	snes_p16_00101ef0	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00102ab0	top_level_gui	frontend	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00103314	snes_p16_00103314	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
