address	name	area	track	work_packet	historical_identity	working_translation_unit	priority	source_model	matching_gate	next_action
0x00100114	snes_p17_00100114	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x0010038c	snes_p16_0010038c	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x001005ec	snes_p16_001005ec	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x001008dc	snes_p16_001008dc	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00100e78	snes_p16_00100e78	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x001019a8	snes_p16_001019a8	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress22_more_small_helpers_recovered.c;src/ps2/progress25_small_core_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00101b64	snes_p16_00101b64	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress22_more_small_helpers_recovered.c;src/ps2/progress25_small_core_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00101ef0	snes_p16_00101ef0	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00102ab0	top_level_gui	frontend	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00103314	snes_p16_00103314	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00103b34	snes_p16_00103b34	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress22_more_small_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00103dd4	snes_p16_00103dd4	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00104234	snes_p16_00104234	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress22_more_small_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00104358	snes_p11_00104358	frontend	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress11_frontend_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00104418	snes_p16_00104418	frontend-core	frontend-ownership	frontend-ui		src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze UI/GS class and global ownership; compile the corridor as EE C++
0x00104a54	mtapPortClose_00104a54	multitap	frontend-ownership	frontend-pad		src/ps2/frontend_pad_recovered.cpp	P1	src/app/main_flow_recovered.c;src/ps2/libmtap_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	replace the rejected libmtap hypothesis with proven pad state/layout and calls
0x00104bbc	mtapGetConnection_00104bbc	multitap	frontend-ownership	frontend-pad		src/ps2/frontend_pad_recovered.cpp	P1	src/ps2/libmtap_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	replace the rejected libmtap hypothesis with proven pad state/layout and calls
0x00104f18	main	frontend	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/app/main_bootstrap.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x00105898	snes_p16_00105898	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/ps2/path_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x00105ae8	snes_p16_00105ae8	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/ps2/path_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x00105e48	snes_p17_00105e48	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x001060dc	snes_p16_001060dc	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
