address	end_address	manifest_next	name	historical_identity	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	relocation_count	object_sha256	cache_key	promotion_scope	target_gate	target_span_sha256
0x001008dc	0x00100e78	0x00100e78	snes_p16_001008dc		frontend-core	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	frontend-ui; manifest address/name retained without additional historical claim; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_001008dc	1436	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	6df0b48d299c65f3b929994c4bac8aa18627bd6947ac60bd8a8a6220d3cc08eb
0x00100e78	0x00101814	0x00101814	snes_p16_00100e78		frontend-core	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	frontend-ui; manifest address/name retained without additional historical claim; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_00100e78	2460	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	c0fc5e6517e952e296e6e98b6121abeb8584e1177fc09a70ece903568fe1e8a7
0x00101ef0	0x001029c4	0x001029c4	snes_p16_00101ef0		frontend-core	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	frontend-ui; manifest address/name retained without additional historical claim; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_00101ef0	2772	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	b05b72b769459f9b5148b7776084b3205c4f2c47ed1acc0164a53735e903ecc2
0x00102ab0	0x00103314	0x00103314	top_level_gui		frontend	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	frontend-ui; manifest address/name retained without additional historical claim; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_00102ab0	2148	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	d01231b55246365fc427a23164aa239852699325574e84feace3b6806062bd03
0x00103314	0x00103b34	0x00103b34	snes_p16_00103314		frontend-core	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	frontend-ui; manifest address/name retained without additional historical claim; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_00103314	2080	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	d68af2ecf48ca6e416685f007b1b385fb1e795a28acc2b79907cec25799ebeaa
0x00104418	0x00104998	0x00104998	snes_p16_00104418		frontend-core	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	frontend-ui; manifest address/name retained without additional historical claim; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_00104418	1408	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	c6cd5a8735a3d1a8bafdcfe72c14ca578543fd7d825c9d5d4914fb9ad694ebde
0x00104f18	0x001056b0	0x001056b0	main		frontend	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	frontend-lifecycle; manifest address/name retained without additional historical claim; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_00104f18	1944	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	b8f2bdcb05d3b4d3e386f2a1e61d8146cffaa3e1b66bc8b9acce81d11e86ed4c
0x00106ca0	0x00107358	0x00107358	snes_p16_00106ca0		frontend-core	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	frontend-lifecycle; manifest address/name retained without additional historical claim; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_00106ca0	1720	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	978b39f033ace789694bc31e83d575aa9cd489d6bb1ceac00c49b9ffd345b6d0
0x0010c6f8	0x0010cbb0	0x0010cbb0	snes_p16_0010c6f8	C4DoScaleRotate	frontend-core	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	c4-core; historical identity C4DoScaleRotate retained; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_0010c6f8	1208	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	af69f02cd294a134cc49ec19776a6072947ebdb950f69b7705de1e1008b8d1f6
0x0010cfa4	0x0010d2a8	0x0010d2a8	snes_p17_0010cfa4	C4TransformLines	frontend-core	target-authoritative-ee-assembly-reconstruction-with-retained-behavioral-models	matching/candidates/hunt1041_v81_final20_exact.S	byte-exact-ee-assembly-reconstruction-no-relocation-masks	c4-core; historical identity C4TransformLines retained; readable behavioral model retained; target-authoritative EE assembly reconstruction is explicitly labelled and compares raw-equal without relocation masking	build/matching/hunt1041-v81-final20/objects/hunt1041_v81_final20_exact.o	v81_0010cfa4	772	exact-next-boundary	MATCH	0	True	True		0	b65800999caa0df2f149c51bb28470c86033115d09ca3c7344bf30cc6a04b1f1	082eba5728af7c90076d1e8c302e0ba8c62de606a9d4c45faead6b03499f92db	formal-manifest	formal-unpacked-elf:739e058834564ba81c2d8fc61fd9977502e9714c7eaafdd3a4ce3ec546fad71b	ecd50e64600de46c56c6b1f0de28cb97ba401dcd5c6125c2dcd154c543462690
