address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	object_sha256
0x00114328	snes_p11_00114328	cheats	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; cheats2.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xRemoveCheat(unsigned int); candidates=1; raw_sha256=378bd725f9f0bad926a5b99a934918b1c05282aa14c27767bfa1edf6a127dcc7	build/matching/hunt400v8/objects/snes9x-1.41/02f5e5eb2c5b46585f50.o	_Z14S9xRemoveCheatj	116	exact-next-boundary	MATCH	0	False	True		24c6eadf3b6e780fcbcdc046e8fadfd73666a92e3eb92edaf6c5a2328c78112f
0x0011439c	snes_p11_0011439c	cheats	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; cheats2.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xApplyCheat(unsigned int); candidates=1; raw_sha256=9f41c3cc1947f72dd4f7254487c60fe2fc235f8b2a72a341a84f8b63a6ec9fbe	build/matching/hunt400v8/objects/snes9x-1.41/02f5e5eb2c5b46585f50.o	_Z13S9xApplyCheatj	176	exact-next-boundary	MATCH	0	False	True		24c6eadf3b6e780fcbcdc046e8fadfd73666a92e3eb92edaf6c5a2328c78112f
0x0011444c	snes_p11_0011444c	cheats	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; cheats2.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xApplyCheats(); candidates=1; raw_sha256=d4be809a043d470c8404995059cf7da005d16908309bea3d50fd292694769b3a	build/matching/hunt400v8/objects/snes9x-1.41/02f5e5eb2c5b46585f50.o	_Z14S9xApplyCheatsv	132	exact-next-boundary	MATCH	0	False	True		24c6eadf3b6e780fcbcdc046e8fadfd73666a92e3eb92edaf6c5a2328c78112f
0x001144d0	snes_p11_001144d0	cheats	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; cheats2.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xRemoveCheats(); candidates=1; raw_sha256=374b42e2d7e8a3392f86ce4314f70277fce754e1c4ce7a5744ca662415cbb94b	build/matching/hunt400v8/objects/snes9x-1.41/02f5e5eb2c5b46585f50.o	_Z15S9xRemoveCheatsv	116	exact-next-boundary	MATCH	0	False	True		24c6eadf3b6e780fcbcdc046e8fadfd73666a92e3eb92edaf6c5a2328c78112f
0x001291e4	snes_p11_001291e4	snes9x-core	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; sa1.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xSA1FixCycles(); candidates=1; raw_sha256=4c03cc84bd77711916e171d73525e393e4be08d5e19ae3802350bfe5c6da9298	build/matching/hunt400v8/objects/snes9x-1.41/5a1ab2d8f48baf3bbd3c.o	_Z15S9xSA1FixCyclesv	108	exact-next-boundary	MATCH	0	False	True		33b6e0785aff55ba855bc15ddf1860b95d0e706004f9a83b4fca28df00cb575c
0x0015d8ec	snes_p13_ppu_reset_0015d8ec	ppu	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; sa1.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xSA1Init; candidates=1; raw_sha256=ccb4f601fb2ebcee2211b470f131b8ae0e9c378491b91594fc0292a41eb2aa12	build/matching/hunt400v8/objects/snes9x-1.41/5a1ab2d8f48baf3bbd3c.o	S9xSA1Init	192	exact-next-boundary	MATCH	0	False	True		33b6e0785aff55ba855bc15ddf1860b95d0e706004f9a83b4fca28df00cb575c
0x0015d9ac	snes_p13_ppu_frontend_reset_0015d9ac	ppu	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; sa1.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xSA1Reset(); candidates=1; raw_sha256=79b929bf9318b1ac440361969f512d6d4b64f2a66a02468b8e66a7fe64600d5e	build/matching/hunt400v8/objects/snes9x-1.41/5a1ab2d8f48baf3bbd3c.o	_Z11S9xSA1Resetv	264	exact-next-boundary	MATCH	0	False	True		33b6e0785aff55ba855bc15ddf1860b95d0e706004f9a83b4fca28df00cb575c
0x0015db74	snes_p13_ppu_frontend_reload_0015db74	ppu	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; sa1.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xFixSA1AfterSnapshotLoad; candidates=1; raw_sha256=f474ad12dff23cef839a3892a14f6a1f4e0b989860f9fed6dd2da250684bef27	build/matching/hunt400v8/objects/snes9x-1.41/5a1ab2d8f48baf3bbd3c.o	S9xFixSA1AfterSnapshotLoad	272	exact-next-boundary	MATCH	0	False	True		33b6e0785aff55ba855bc15ddf1860b95d0e706004f9a83b4fca28df00cb575c
0x0015de14	snes_p11_0015de14	snes9x-core	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; sa1.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xSA1GetWord; candidates=1; raw_sha256=fc29b9fa25b7733972e5b65d30d8469cacce30f019ca94a84d25de1ad5e0c7ca	build/matching/hunt400v8/objects/snes9x-1.41/5a1ab2d8f48baf3bbd3c.o	S9xSA1GetWord	84	exact-next-boundary	MATCH	0	False	True		33b6e0785aff55ba855bc15ddf1860b95d0e706004f9a83b4fca28df00cb575c
0x0015e034	snes_p11_0015e034	snes9x-core	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; sa1.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-strict-fingerprint	demangled=S9xSA1SetWord; candidates=1; raw_sha256=e485a09466202d389ff67539485e56d1f6e0c9e514512eaed9093160161f0f38	build/matching/hunt400v8/objects/snes9x-1.41/5a1ab2d8f48baf3bbd3c.o	S9xSA1SetWord	72	exact-next-boundary	MATCH	0	False	True		33b6e0785aff55ba855bc15ddf1860b95d0e706004f9a83b4fca28df00cb575c
