address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations	object_sha256
0x0012c2a4	snes_p11_0012c2a4	frontend	snes9x-1.42-official-lysator-source	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; dsp1.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=DSPOp10	build/matching/hunt400v9/objects/snes9x-1.42/9c8ecf7dea6dbc29ae4f.o	_Z7DSPOp10v	56	exact-next-boundary	MATCH	0	False	True		385a550cf3a8fc8f8cb88846360e32e3c38d1ca5094e6166ba940fa67b86b3f1
0x0012dde0	snes_p11_0012dde0	frontend	snes9x-1.42-official-lysator-source	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; dsp1.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=DSPOp0E	build/matching/hunt400v9/objects/snes9x-1.42/9c8ecf7dea6dbc29ae4f.o	_Z7DSPOp0Ev	128	exact-next-boundary	MATCH	0	False	True		385a550cf3a8fc8f8cb88846360e32e3c38d1ca5094e6166ba940fa67b86b3f1
0x00153780	snes_p13_frontend_bank_init_00153780	frontend	snes9x-1.42-official-lysator-source	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; memmap.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=CMemory::MapExtraRAM	build/matching/hunt400v9/objects/snes9x-1.42/de50deaf343dbcb40765.o	_ZN7CMemory11MapExtraRAMEv	304	exact-next-boundary	MATCH	0	False	True		93ddd3cb6d3f2f16de97ad63cb5537cd4af5d7d62a8616459cdd08cf3e7d3b99
0x00158974	snes_p13_header_validate_00158974	frontend	snes9x-1.42-official-lysator-source	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; memmap.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=is_bsx	build/matching/hunt400v9/objects/snes9x-1.42/de50deaf343dbcb40765.o	_Z6is_bsxPh	228	exact-next-boundary	MATCH	0	False	True		93ddd3cb6d3f2f16de97ad63cb5537cd4af5d7d62a8616459cdd08cf3e7d3b99
0x00158a58	snes_p13_multibyte_validate_00158a58	frontend	snes9x-1.42-official-lysator-source	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; memmap.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=bs_name	build/matching/hunt400v9/objects/snes9x-1.42/de50deaf343dbcb40765.o	_Z7bs_namePh	228	exact-next-boundary	MATCH	0	False	True		93ddd3cb6d3f2f16de97ad63cb5537cd4af5d7d62a8616459cdd08cf3e7d3b99
0x0015cdf8	snes_p13_stage_advance_0015cdf8	frontend	snes9x-1.42-official-lysator-source-v10	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; ppu.cpp; profile=os-short	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=S9xNextController	build/matching/hunt500v10/objects/snes9x-1.42/c492b95ef9a98ed007c8.o	S9xNextController	172	exact-next-boundary	MATCH	0	False	True		0a287b945087d4dc530e912db3ece53ca6844754b9bc7b784c925ccb4e1632c7
0x0017022c	snes_p11_0017022c	frontend	snes9x-1.42-official-lysator-source-v10	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; snaporig.cpp; profile=os-short	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=S9xLoadOrigSnapshot	build/matching/hunt500v10/objects/snes9x-1.42/6bf635f0753731475793.o	S9xLoadOrigSnapshot	96	exact-next-boundary	MATCH	0	False	True		3a91af4133a9443de34aff57bf45c33bc9b7dd93fc73916ca8621ea0f91fb048
0x00174120	snes_p13_controller_mask_00174120	input	snes9x-1.42-official-lysator-source-v10	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; soundux.cpp; profile=os-short	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=S9xSetEchoEnable	build/matching/hunt500v10/objects/snes9x-1.42/6b966de8ead76c58fa8d.o	_Z16S9xSetEchoEnableh	228	exact-next-boundary	MATCH	0	False	True		8f9b7e35c702569fff8607321f99d6fdb7939bbe4927f2f248d029505463f9d4
0x001832a4	snes_p13_runtime_block_init_001832a4	runtime	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; spc7110.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=S9xSpc7110Reset	build/matching/hunt400v8/objects/snes9x-1.41/9bac063dd693c49aab33.o	_Z15S9xSpc7110Resetv	248	exact-next-boundary	MATCH	0	False	True		60eaea0a87bcddff5f7978d1e94ed7b57ed43206b91dcc73fcad805545ae346d
0x001836d0	snes_p13_weekday_001836d0	runtime	snes9x-1.41-pinned-source-v8	https://www.lysator.liu.se/snes9x/1.41/snes9x-1.41-src.tar.gz; sha256=f24e5761fd91078c124241e8631370a6bd182b8dde9661d24e9761898d1838f3; srtc.cpp; profile=unzip-os-short; memory.h=compat-string.h	anonymous-unique-strict-fingerprint	identity_candidates=1; demangled=S9xSRTCComputeDayOfWeek	build/matching/hunt400v8/objects/snes9x-1.41/2085e1d84559da08adc4.o	_Z23S9xSRTCComputeDayOfWeekv	168	exact-next-boundary	MATCH	0	False	True		0afd8142f73eae0c4404ce935e5f1e742f1c8b08504ea90cf79cc1d3d78a480a
0x0018c1f8	explode_lit8	unzip	snes9x-1.42-official-lysator-source-v10	https://www.lysator.liu.se/snes9x/1.42/snes9x-1.42-src.tar.gz; sha256=136c7c9bf826bf9dba91073aae14e4b315ab78e67eee189322dec2637e949ffb; unzip/explode.c; profile=os-short	anchored-object-layout	load_base=0x0018c124; anchors=3	build/matching/hunt500v10/objects/snes9x-1.42/49c58fed5bd1acf3ea89.o	explode_lit8	1596	exact-next-boundary	MATCH	0	False	True		a0d4863246c39a0d9090a89f3992838c5d1485cc86d31059954ae110d1675c79
