address,end,name,object_symbol,source
0x001a3dc0,0x001a3e30,size_of_encoded_value,unwind_size_of_encoded_value_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a3e30,0x001a3ee8,base_of_encoded_value,unwind_base_of_encoded_value_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a3ee8,0x001a3f28,read_uleb128,unwind_read_uleb128_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a3f28,0x001a3f88,read_sleb128,unwind_read_sleb128_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a40e8,0x001a40f0,_Unwind_GetLanguageSpecificData,unwind_get_lsda_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a40f0,0x001a40f8,_Unwind_GetRegionStart,unwind_get_region_start_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a40f8,0x001a4100,_Unwind_GetDataRelBase,unwind_get_data_rel_base_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a4100,0x001a4108,_Unwind_GetTextRelBase,unwind_get_text_rel_base_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a5c80,0x001a5c98,_Unwind_GetGR,unwind_get_gr_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a5c98,0x001a5cb0,_Unwind_SetGR,unwind_set_gr_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a5cb0,0x001a5cb8,_Unwind_GetIP,unwind_get_ip_candidate,matching/candidates/libgcc_unwind_leaves.c
0x001a5cb8,0x001a5cc0,_Unwind_SetIP,unwind_set_ip_candidate,matching/candidates/libgcc_unwind_leaves.c
