address,end,name,object_symbol,source
0x0019ce60,0x0019ce70,iWakeupThread,iWakeupThread_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ce70,0x0019ce80,CreateSema,CreateSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ce80,0x0019ce90,DeleteSema,DeleteSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ce90,0x0019cea0,iSignalSema,iSignalSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cea0,0x0019ceb0,WaitSema,WaitSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ceb0,0x0019cec0,FlushCache,FlushCache_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cec0,0x0019ced0,iFlushCache,iFlushCache_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ced0,0x0019cee0,SifDmaStat,SifDmaStat_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cee0,0x0019cef0,SifSetDma,SifSetDma_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cef0,0x0019cf00,SifSetReg,SifSetReg_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cf00,0x0019cf10,SifGetReg,SifGetReg_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019f018,0x0019f060,DIntr,DIntr_candidate,matching/candidates/libkernel_intr.S
0x0019f060,0x0019f078,EIntr,EIntr_candidate,matching/candidates/libkernel_intr.S
0x0019f5d0,0x0019f5e0,SifStopDma,SifStopDma_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019f5e0,0x0019f5f0,iSifSetDma,iSifSetDma_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019f5f0,0x0019f600,SifSetDChain,SifSetDChain_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019fcd0,0x0019fce0,_EnableDmac,_EnableDmac_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019fce0,0x0019fcf0,_DisableDmac,_DisableDmac_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019fcf0,0x0019fd00,SignalSema,SignalSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019fd00,0x0019fd10,PollSema,PollSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019fd10,0x0019fd20,iSifSetDChain,iSifSetDChain_candidate,matching/candidates/libkernel_syscall_wrappers.S
