address,end,name,object_symbol,source
0x0019ce60,0x0019ce70,iWakeupThread,iWakeupThread_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ce70,0x0019ce80,CreateSema,CreateSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ce80,0x0019ce90,DeleteSema,DeleteSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ce90,0x0019cea0,iSignalSema,iSignalSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cea0,0x0019ceb0,WaitSema,WaitSema_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ceb0,0x0019cec0,FlushCache,FlushCache_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cec0,0x0019ced0,iFlushCache,iFlushCache_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019ced0,0x0019cee0,SifDmaStat,SifDmaStat_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cee0,0x0019cef0,SifSetDma,SifSetDma_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cef0,0x0019cf00,SifSetReg,SifSetReg_candidate,matching/candidates/libkernel_syscall_wrappers.S
0x0019cf00,0x0019cf10,SifGetReg,SifGetReg_candidate,matching/candidates/libkernel_syscall_wrappers.S
