address	name	area	gate	source	profile	object_symbol	object_size	boundary
0x001057fc	snes_p16_001057fc	frontend-core	screen2	src/ps2/path_helpers_recovered.c	sdk-o2	build_state_path_001057fc	156	exact-next-boundary
0x0010a8bc	snes_p11_0010a8bc	frontend	screen2	src/snes9x/apu_alloc_recovered.c	sdk-os	apu_buffer_cleanup_0010a8bc	120	exact-next-boundary
0x00151330	per_rom_cleanup	memory	screen2	src/snes9x/memory_cleanup_recovered.c	sdk-o2	rom_cleanup_00151330	48	exact-next-boundary
0x0018339c	snes_leaf_0018339c	address-leaf	screen2	src/ps2/address_leaf_recovered.c	sdk-o2	snes_leaf_0018339c	8	exact-next-boundary
0x0018e2e0	huft_free	unzip	screen2	src/unzip/explode_recovered.c	sdk-o2	huft_free_recovered	56	exact-next-boundary
0x0018f240	unzStringFileNameCompare	unzip	screen2	src/unzip/unzip_api_recovered.c	sdk-os	unzStringFileNameCompare_recovered	60	exact-next-boundary
0x0018f638	unzGetGlobalInfo	unzip	screen2	src/unzip/unzip_api_recovered.c	sdk-o2	unzGetGlobalInfo_recovered	28	exact-next-boundary
0x0018f654	unzlocal_DosDateToTmuDate	unzip	screen2	src/unzip/unzip_api_recovered.c	sdk-o2	unzlocal_DosDateToTmuDate_recovered	120	exact-next-boundary
0x001907cc	compress	zlib	screen2	src/zlib/zlib_buffer_api_recovered.c	sdk-o2	compress_recovered	28	exact-next-boundary
0x001908bc	deflateInit_	zlib	screen2	src/zlib/zlib_buffer_api_recovered.c	sdk-o2	deflateInit__recovered	48	exact-next-boundary
0x00193564	gzopen	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2	gzopen_00193564	28	exact-next-boundary
0x00193580	gzdopen	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2	gzdopen_00193580	88	exact-next-boundary
0x001935d8	gzsetparams	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2-no-align-jumps	gzsetparams_001935d8	156	exact-next-boundary
0x0019371c	check_header	zlib	screen2	src/zlib/gzio_recovered.c	sdk-os	check_header_0019371c	504	exact-next-boundary
0x00193cd8	gzgetc	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2	gzgetc_00193cd8	52	exact-next-boundary
0x00193d0c	gzgets	zlib	screen2	src/zlib/gzio_recovered.c	sdk-os	gzgets_00193d0c	176	exact-next-boundary
0x00193dbc	gzwrite	zlib	screen2	src/zlib/gzio_recovered.c	sdk-os	gzwrite_00193dbc	208	exact-next-boundary
0x00193f08	gzputc	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2	gzputc_00193f08	60	exact-next-boundary
0x001940ac	gzflush	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2	gzflush_001940ac	64	exact-next-boundary
0x00194378	gztell	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2	gztell_00194378	32	exact-next-boundary
0x00194398	gzeof	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2	gzeof_00194398	40	exact-next-boundary
0x001943c0	putLong	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2	putLong_001943c0	92	exact-next-boundary
0x00194498	gzclose	zlib	screen2	src/zlib/gzio_recovered.c	sdk-o2-no-align-jumps	gzclose_00194498	116	exact-next-boundary
0x0019532c	inflate_blocks_sync_point	zlib	screen2	src/zlib/infblock_frontend_recovered.c	sdk-o2	inflate_blocks_sync_point_recovered	16	exact-next-boundary
0x0019533c	inflate_codes_new	zlib	screen2	src/zlib/infcodes_recovered.c	sdk-o3	inflate_codes_new_recovered	112	exact-next-boundary
0x00196980	tr_static_init	zlib	screen2	src/zlib/trees_recovered.c	sdk-o2	tr_static_init	8	exact-next-boundary
0x00196988	_tr_init	zlib	screen2	src/zlib/trees_recovered.c	sdk-os	_tr_init_recovered	120	exact-next-boundary
0x00198aa4	zcfree	zlib	screen2	src/zlib/zutil_adler_recovered.c	sdk-o2	zcfree_00198aa4	28	exact-next-boundary
0x00198d38	gsDriver_dtor_A	gslib	screen2	src/ps2/gsdriver_recovered.c	sdk-o2	gsDriver_dtor_00198d38	28	object-layout-gap:0x4
