address	name	area	evidence_sources	profiles	object_symbols	boundaries
0x0010768c	snes_p11_0010768c	audio-rpc	screen300c	pgen-os	SjPCM_Play	exact-next-boundary
0x001076e4	snes_p11_001076e4	audio-rpc	screen300c	pgen-os	SjPCM_Pause	exact-next-boundary
0x0018f070	unzlocal_getShort	unzip	sweep4	os	unzlocal_getShort	exact-next-boundary
0x0018f0ec	unzlocal_getLong	unzip	sweep4	os	unzlocal_getLong	exact-next-boundary
0x0018f1b8	strcmpcasenosensitive_internal	unzip	sweep4	os	strcmpcasenosensitive_internal	exact-next-boundary
0x0018f5e0	unzClose	unzip	sweep4	o2	unzClose	exact-next-boundary
0x0018faec	unzGoToFirstFile	unzip	sweep4	o2	unzGoToFirstFile	exact-next-boundary
0x0018fb54	unzGoToNextFile	unzip	sweep4	os	unzGoToNextFile	exact-next-boundary
0x0018fbfc	unzLocateFile	unzip	sweep4	os	unzLocateFile	exact-next-boundary
0x00190458	unztell	unzip	sweep4	o2	unztell	exact-next-boundary
0x00190474	unzeof	unzip	sweep4	o2	unzeof	exact-next-boundary
0x00190578	unzCloseCurrentFile	unzip	sweep4	o2	unzCloseCurrentFile	exact-next-boundary
0x00190700	compress2	zlib	screen300b;sweep2	default-os;os	compress2	exact-next-boundary
0x001907e8	uncompress	zlib	screen300b;sweep2	default-os;os	uncompress	exact-next-boundary
0x0019441c	getLong	zlib	sweep4	os	getLong	exact-next-boundary
0x00194628	inflate_blocks_reset	zlib	screen300d;sweep2	default-os;historical-os	inflate_blocks_reset	exact-next-boundary
0x001946e8	inflate_blocks_new	zlib	screen300d;sweep2	default-os;historical-os	inflate_blocks_new	exact-next-boundary
0x00195280	inflate_blocks_free	zlib	screen300d;sweep2	default-snesticle-o2;snesstation-o2	inflate_blocks_free	exact-next-boundary
0x001953ac	inflate_codes	zlib	screen300d;sweep2	default-os;historical-os	inflate_codes	exact-next-boundary
0x00195b10	inflate_codes_free	zlib	screen300d;sweep2	default-os;historical-os	inflate_codes_free	exact-next-boundary
0x001964d4	inflate_trees_bits	zlib	screen300d;sweep2	default-snesticle-o2;snesstation-o2	inflate_trees_bits	exact-next-boundary
0x001965d4	inflate_trees_dynamic	zlib	screen300d;sweep2	default-os;historical-os	inflate_trees_dynamic	exact-next-boundary
0x001967b0	inflate_trees_fixed	zlib	screen300d;sweep2	default-os;historical-os	inflate_trees_fixed	exact-next-boundary
0x00196a94	pqdownheap	zlib	screen300d;sweep2	default-os;historical-os	pqdownheap	exact-next-boundary
0x00196e80	gen_codes	zlib	screen300d;sweep2	default-os;historical-os	gen_codes	exact-next-boundary
0x00198a84	zcalloc	zlib	screen300d	pgen-exact-o3	zcalloc	exact-next-boundary
0x00198d78	gsDriver_setDisplayMode	gslib	screen300c	precompiled-archive	_ZN8gsDriver14setDisplayModeEjjjjjjjjjj	exact-next-boundary
0x00199070	gsDriver_setDisplayPosition	gslib	screen300c	precompiled-archive	_ZN8gsDriver18setDisplayPositionEjj	exact-next-boundary
0x001992f8	gsDriver_setDisplayBuffer	gslib	screen300c	precompiled-archive	_ZN8gsDriver16setDisplayBufferEj	jr-ra+nop-padding:0x4
0x00199360	gsDriver_setDrawBuffer	gslib	screen300c	precompiled-archive	_ZN8gsDriver13setDrawBufferEj	jr-ra+nop-padding:0x4
