address	name	area	provenance	source	profile	object	object_symbol	object_size	boundary	result	differing_bytes	unknown_relocations
0x00190700	compress2	zlib	zlib-1.1.3-upstream	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-src/compress.c	os	/root/SNESstation-Decomp/build/matching/progress55-screen300b/objects/zlib113__compress__os.o	compress2	204	exact-next-boundary	MATCH	0	
0x001907e8	uncompress	zlib	zlib-1.1.3-upstream	/root/SNESstation-Decomp/build/upstream/zlib-1.1.3-src/uncompr.c	os	/root/SNESstation-Decomp/build/matching/progress55-screen300b/objects/zlib113__uncompr__os.o	uncompress	212	exact-next-boundary	MATCH	0	
0x001a1b20	__muldi3	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_muldi3.o	__muldi3	116	jr-ra+nop-padding:0x4	MATCH	0	
0x001a1c98	__fixunsdfdi	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_fixunsdfdi.o	__fixunsdfdi	288	exact-next-boundary	MATCH	0	
0x001a25b0	__udivdi3	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_udivdi3.o	__udivdi3	28	jr-ra+nop-padding:0x4	MATCH	0	
0x001a2c78	__umoddi3	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_umoddi3.o	__umoddi3	32	exact-next-boundary	MATCH	0	
0x001a3340	fptodp	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_sf_to_df.o	fptodp	60	jr-ra+nop-padding:0x4	MATCH	0	
0x001a35b0	dpadd	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_addsub_df.o	dpadd	96	exact-next-boundary	MATCH	0	
0x001a3610	dpsub	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_addsub_df.o	dpsub	108	jr-ra+nop-padding:0x4	MATCH	0	
0x001a3680	dpmul	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_mul_df.o	dpmul	96	exact-next-boundary	MATCH	0	
0x001a3950	dpdiv	libgcc	native-runtime-archive	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	libgcc-a	/root/SNESstation-Decomp/build/matching/progress55-screen300b/archives/libgcc-a/_div_df.o	dpdiv	92	jr-ra+nop-padding:0x4	MATCH	0	
