address	name	area	phase	source	profile	object_symbol	object_size	boundary
0x0019fb78	DisableDmac	libkernel	perobj-kernel-glue	ps2sdk/ee/kernel/src/glue.c:F_DisableDmac	o2	DisableDmac	120	exact-next-boundary
0x001a0740	mcGetInfoApdx	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcGetInfoApdx	136	exact-next-boundary
0x001a0a68	mcGetInfo	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcGetInfo	312	exact-next-boundary
0x001a0ba0	mcOpen	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcOpen	220	exact-next-boundary
0x001a0c7c	mcClose	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcClose	176	exact-next-boundary
0x001a0d2c	mcSeek	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcSeek	196	exact-next-boundary
0x001a0df0	mcRead	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcRead	248	exact-next-boundary
0x001a0ee8	mcWrite	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcWrite	312	exact-next-boundary
0x001a1020	mcFlush	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcFlush	176	exact-next-boundary
0x001a10fc	mcChdir	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcChdir	264	exact-next-boundary
0x001a1204	mcGetDir	libmc	hist-whole	ps2sdk/ee/rpc/memorycard/src/libmc.c	os	mcGetDir	264	exact-next-boundary
0x001a8614	padEnd	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	os	padEnd	124	exact-next-boundary
0x001a8918	padGetReqState	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	o2	padGetReqState	32	exact-next-boundary
0x001a89e4	padGetPortMax	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	o2	padGetPortMax	104	exact-next-boundary
0x001a8a4c	padGetSlotMax	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	o2	padGetSlotMax	112	exact-next-boundary
0x001a8abc	padGetModVersion	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	o2	padGetModVersion	104	exact-next-boundary
0x001a8c20	padSetMainMode	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	os	padSetMainMode	192	exact-next-boundary
0x001a8ce0	padInfoPressMode	libpad	hist-whole	ps2sdk/ee/rpc/pad/src/libpad.c	o2	padInfoPressMode	44	exact-next-boundary
0x001a8d0c	padEnterPressMode	libpad	hist-whole	ps2sdk/ee/rpc/pad/src/libpad.c	o2	padEnterPressMode	28	exact-next-boundary
0x001a8d28	padExitPressMode	libpad	hist-whole	ps2sdk/ee/rpc/pad/src/libpad.c	o2	padExitPressMode	28	exact-next-boundary
0x001a8d44	padGetButtonMask	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	o2	padGetButtonMask	120	exact-next-boundary
0x001a8dbc	padSetButtonInfo	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	os	padSetButtonInfo	184	exact-next-boundary
0x001a8e74	padInfoAct	libpad	hist-whole	ps2sdk/ee/rpc/padx/src/libpadx.c	o2	padInfoAct	148	exact-next-boundary
0x001ab3c0	SyncDCache	ps2	perobj-kernel-glue	ps2sdk/ee/kernel/src/glue.c:F_SyncDCache	o2	SyncDCache	128	exact-next-boundary
