address	name	area	provenance	source	profile	compiler	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations
0x001a1b20	__muldi3	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0000__muldi3.o	__muldi3	116	jr-ra+nop-padding:0x4	MATCH	0	True	True	
0x001a1c98	__fixunsdfdi	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0013__fixunsdfdi.o	__fixunsdfdi	288	exact-next-boundary	MATCH	0	False	True	
0x001a25b0	__udivdi3	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0041__udivdi3.o	__udivdi3	28	jr-ra+nop-padding:0x4	MATCH	0	False	True	
0x001a2c78	__umoddi3	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0042__umoddi3.o	__umoddi3	32	exact-next-boundary	MATCH	0	False	True	
0x001a3340	fptodp	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0063__sf_to_df.o	fptodp	60	jr-ra+nop-padding:0x4	MATCH	0	False	True	
0x001a35b0	dpadd	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0069__addsub_df.o	dpadd	96	exact-next-boundary	MATCH	0	False	True	
0x001a3610	dpsub	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0069__addsub_df.o	dpsub	108	jr-ra+nop-padding:0x4	MATCH	0	False	True	
0x001a3680	dpmul	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0070__mul_df.o	dpmul	96	exact-next-boundary	MATCH	0	False	True	
0x001a3950	dpdiv	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0071__div_df.o	dpdiv	92	jr-ra+nop-padding:0x4	MATCH	0	False	True	
0x001a3ad8	dpcmp	libgcc	runtime-archive:toolchain-ee-gcc-3.2.2-stage1-3.2.2	/root/SNESstation-Decomp/build/toolchains/ee-gcc-3.2.2-stage1/prefix/lib/gcc-lib/ee/3.2.2/libgcc.a	archive-object	libgcc.a	build/matching/progress55-300plus-sweep3/archive-objects/00_libgcc.a/0073__compare_df.o	dpcmp	84	jr-ra+nop-padding:0x4	MATCH	0	False	True	
