address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	first_differences	difference_words	raw_equal	normalized_equal	unknown_relocations
0x0018e440	FillBitBuffer	unzip	p60-recovered-unzip-lineage	src/unzip/explode_recovered.c	p60-os	FillBitBuffer-bits-left-signed	build/matching/progress60-source-lineage/objects/p60-recovered-unzip-lineage__FillBitBuffer-bits-left-signed__explode-bits-left-signed.c__p60-os.o	FillBitBuffer_recovered	128	exact-next-boundary	MATCH	0			False	True	
0x0019d410	fioMkdir	fileio	p60-recovered-fileio-lineage	src/ps2/fileio_recovered.c	p60-os	fioMkdir-path256	build/matching/progress60-source-lineage/objects/p60-recovered-fileio-lineage__fioMkdir-path256__fileio-fioMkdir-path256.c__p60-os.o	fioMkdir_0019d410	160	exact-next-boundary	MATCH	0			False	True	
0x0019e8e4	strncasecmp	libc	p60-ps2dev-libc-lineage	ps2sdk/ee/libc/src/string.c	p60-os	strncasecmp-n-unsigned-int	build/matching/progress60-source-lineage/objects/p60-ps2dev-libc-lineage__strncasecmp-n-unsigned-int__strncasecmp-n-unsigned-int.c__p60-os.o	strncasecmp	184	exact-next-boundary	MATCH	0			False	True	
0x001a17a4	mcRename	libmc	p60-ps2dev-libmc-lineage	ps2sdk/ee/rpc/memorycard/src/libmc.c	p60-os	libmc-rename-copy32-getent-rpc	build/matching/progress60-source-lineage/objects/p60-ps2dev-libmc-lineage__libmc-rename-copy32-getent-rpc__libmc-rename-copy32-getent-rpc.c__p60-os.o	mcRename	284	exact-next-boundary	MATCH	0			False	True	
0x001a8420	padGetDmaStr	libpad	p60-ps2dev-libpad-lineage	ps2sdk/ee/rpc/pad/src/libpad.c	p60-os	libpad-newpadman-8x2	build/matching/progress60-source-lineage/objects/p60-ps2dev-libpad-lineage__libpad-newpadman-8x2__libpad-newpadman-8x2.c__p60-os.o	padGetDmaStr	100	exact-next-boundary	MATCH	0			False	True	
0x001a8690	padPortOpen	libpad	p60-ps2dev-libpad-lineage	ps2sdk/ee/rpc/pad/src/libpad.c	p60-os	libpad-newpadman-8x2	build/matching/progress60-source-lineage/objects/p60-ps2dev-libpad-lineage__libpad-newpadman-8x2__libpad-newpadman-8x2.c__p60-os.o	padPortOpen	288	exact-next-boundary	MATCH	0			False	True	
0x001a87b0	padPortClose	libpad	p60-ps2dev-libpad-lineage	ps2sdk/ee/rpc/pad/src/libpad.c	p60-os	libpad-newpadman-8x2	build/matching/progress60-source-lineage/objects/p60-ps2dev-libpad-lineage__libpad-newpadman-8x2__libpad-newpadman-8x2.c__p60-os.o	padPortClose	180	exact-next-boundary	MATCH	0			False	True	
0x001a8864	padRead	libpad	p60-ps2dev-libpad-lineage	ps2sdk/ee/rpc/pad/src/libpad.c	p60-os	libpad-newpadman-8x2-loop-lenint	build/matching/progress60-source-lineage/objects/p60-ps2dev-libpad-lineage__libpad-newpadman-8x2-loop-lenint__libpad-newpadman-8x2-loop-lenint.c__p60-os.o	padRead	68	exact-next-boundary	MATCH	0			False	True	
0x001a88a8	padGetState	libpad	p60-ps2dev-libpad-lineage	ps2sdk/ee/rpc/pad/src/libpad.c	p60-os	libpad-newpadman	build/matching/progress60-source-lineage/objects/p60-ps2dev-libpad-lineage__libpad-newpadman__libpad-newpadman.c__p60-os.o	padGetState	112	exact-next-boundary	MATCH	0			False	True	
0x001a9080	padGetConnection	libpad	p60-ps2dev-libpad-lineage	ps2sdk/ee/rpc/pad/src/libpad.c	p60-os	libpad-newpadman	build/matching/progress60-source-lineage/objects/p60-ps2dev-libpad-lineage__libpad-newpadman__libpad-newpadman.c__p60-os.o	padGetConnection	120	exact-next-boundary	MATCH	0			False	True	
