address	target_name	target_area	candidate_object	candidate_symbol	candidate_size	target_zero_gap	provenance	family	raw_sha256	accepted
0x00199b80	gsPipe_setAlphaEnable	gslib	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	_ZN6gsPipe14setAlphaEnableEi	212	4	pgen-libgs-prebuilt	gslib	fd1c528b93fe0b66f52747255aa656a78ea658d8af2df0aa1508686c06db9c79	True
0x0019a240	gsPipe_TextureDownload	gslib	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	_ZN6gsPipe15TextureDownloadEjiiiiPhii	700	4	pgen-libgs-prebuilt	gslib	446b963bd6e759f01deb515cb0dba477323576edfc61d6da8f0dce60716bae2d	True
0x001a1b98	__floatdisf	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_floatdisf.o	__floatdisf	252	4	ee-gcc-3.2.2-libgcc-a	libgcc	14ba9bdde0116aeca5af2075457e6efe927194728a1233182ac0cd6ff2f0543e	True
0x001a1b98	__floatdisf	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_floatdisf.o	__floatdisf	252	4	ee-gcc-3.2.2-libgcc-a	libgcc	14ba9bdde0116aeca5af2075457e6efe927194728a1233182ac0cd6ff2f0543e	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_divdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_moddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_udivdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_udivmoddi4.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_umoddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_divdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_moddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_udivdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_udivmoddi4.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a1f08	__udivmoddi4_div_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_umoddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_divdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_moddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_udivdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_udivmoddi4.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_umoddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_divdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_moddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_udivdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_udivmoddi4.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a25d0	__udivmoddi4_udiv_clone	libgcc	build/matching/progress70-hunt350-stage2/archive-libgcc.a/_umoddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a2c98	__udivmoddi4_umod_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_divdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a2c98	__udivmoddi4_umod_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_moddi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
0x001a2c98	__udivmoddi4_umod_clone	libgcc	build/matching/progress69-hunt350-batch/libgcc-archive/_udivdi3.o	__udivmoddi4	1700	4	ee-gcc-3.2.2-libgcc-a	libgcc	34d77b35dcf02cb6f051af3c0b24cce2babf0438ee5ebf2feeecc5ab6254bd4d	True
