address	name	area	provenance	source	profile	detail	object	object_symbol	object_size	boundary	result	differing_bytes	raw_equal	normalized_equal	unknown_relocations
0x00198c58	gsDriver_ctor_A	gslib	pgen-libgs-prebuilt	build/matching/progress58-hunt350/pgen-libgs-a/gsDriver.o	anonymous-historical-fingerprint	P70-strict-seed-revalidated	build/matching/progress58-hunt350/pgen-libgs-a/gsDriver.o	_ZN8gsDriverC2Ev	112	exact-next-boundary	MATCH	0	False	True	
0x00198cc8	gsDriver_ctor_B	gslib	pgen-libgs-prebuilt	build/matching/progress58-hunt350/pgen-libgs-a/gsDriver.o	anonymous-historical-fingerprint	P70-strict-seed-revalidated	build/matching/progress58-hunt350/pgen-libgs-a/gsDriver.o	_ZN8gsDriverC2Ev	112	exact-next-boundary	MATCH	0	False	True	
0x00199480	gsPipe_ctor_A	gslib	pgen-libgs-prebuilt	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	anonymous-historical-fingerprint	P70-strict-seed-revalidated	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	_ZN6gsPipeC2Ej	272	exact-next-boundary	MATCH	0	False	True	
0x00199590	gsPipe_ctor_B	gslib	pgen-libgs-prebuilt	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	anonymous-historical-fingerprint	P70-strict-seed-revalidated	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	_ZN6gsPipeC2Ej	272	exact-next-boundary	MATCH	0	False	True	
0x00199b80	gsPipe_setAlphaEnable	gslib	pgen-libgs-prebuilt	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	gap-aware-historical-symbol	family=gslib; historical-symbol-size=212; target-trailing-zero-gap=0x4	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	_ZN6gsPipe14setAlphaEnableEi	212	historical-symbol+target-zero-gap:0x4	MATCH	0	False	True	
0x0019a240	gsPipe_TextureDownload	gslib	pgen-libgs-prebuilt	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	gap-aware-historical-symbol	family=gslib; historical-symbol-size=700; target-trailing-zero-gap=0x4	build/matching/progress58-hunt350/pgen-libgs-a/gsPipe.o	_ZN6gsPipe15TextureDownloadEjiiiiPhii	700	historical-symbol+target-zero-gap:0x4	MATCH	0	False	True	
0x0019e288	snprintf_putc	stdio	ps2lib-20040415-whole-tu	build/matching/progress69-hunt350-batch/objects/ps2lib-20040415-whole-tu__exact-2004-F_vsnprintf__xprintf.c__p69-os-noalign.o	anonymous-historical-fingerprint	P70-strict-seed-revalidated	build/matching/progress69-hunt350-batch/objects/ps2lib-20040415-whole-tu__exact-2004-F_vsnprintf__xprintf.c__p69-os-noalign.o	sn_append_char	88	exact-next-boundary	MATCH	0	False	True	
0x0019e99c	strtok	libc	ps2lib-20040415-whole-tu	ee/libc/src/string.c	p69-os	P70-strict-seed-revalidated	build/matching/progress69-hunt350-batch/objects/ps2lib-20040415-whole-tu__exact-2004-F_strtok__string.c__p69-os.o	strtok	264	exact-next-boundary	MATCH	0	False	True	
0x001a08ec	mcInit	libmc	historical-object-rescan	build/matching/progress65-ps2lib-2004/objects/ps2lib-migration-20040415__exact-ps2lib-source__libmc.c__p65-os.o	prebuilt-or-prior-historical	P70-strict-seed-revalidated	build/matching/progress65-ps2lib-2004/objects/ps2lib-migration-20040415__exact-ps2lib-source__libmc.c__p65-os.o	mcInit	380	exact-next-boundary	MATCH	0	False	True	
0x001a1974	mcSync	libmc	historical-object-rescan	build/matching/progress58-hunt350/objects/ps2dev-whole-tu__ps2sdk_ee_rpc_memorycard_src_libmc.c__libmc.c__hist-tu-os.o	prebuilt-or-prior-historical	P70-strict-seed-revalidated	build/matching/progress58-hunt350/objects/ps2dev-whole-tu__ps2sdk_ee_rpc_memorycard_src_libmc.c__libmc.c__hist-tu-os.o	mcSync	224	exact-next-boundary	MATCH	0	False	True	
