address,name,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,pseudocode_sha256,evidence
0x0010038c,snes_p16_0010038c,frontend-core,medium-high,0x00105404,2,51,0,ec7f310744998181db0dc55691f412f0e9b7329c38936f1026f926d95fe8094c,complete R5900 structural decompile
0x001005ec,snes_p16_001005ec,frontend-core,medium-high,0x001056c8,1,71,0,d797abdff5b3395fd5f79cf4fbfcf0dcec0e705eda34fcbc181260978c443c2d,complete R5900 structural decompile
0x001008dc,snes_p16_001008dc,frontend-core,medium-high,0x00101584,1,141,0,cc6835787e6ccb127e5356a595a8b7e74018f2d8c0b9a6c2f42c1fc0682b0b44,complete R5900 structural decompile
0x00100e78,snes_p16_00100e78,frontend-core,medium-high,0x00105544,1,274,0,e5a249ab10e023a684ec147d8cdfd93324c51403f00c2a3a16ac8ea4ce478d3b,complete R5900 structural decompile
0x001019a8,snes_p16_001019a8,frontend-core,medium-high,0x00101f98,5,27,0,478c4f8fcf320007877b282619b9f77dd71fc5e8b8b49b82cddb52d34224f6d9,complete R5900 structural decompile
0x00101b64,snes_p16_00101b64,frontend-core,medium-high,0x001029cc,7,29,0,93ba3b147c7fcaea1bbca8faf1c79f0582e5fb3e4925f8c134a26e9e3229528f,complete R5900 structural decompile
0x00101e8c,snes_p16_00101e8c,frontend-core,medium-high,0x0010204c,11,15,0,08afb01406db9a964a76615df3cb1730c58f72f0c8134e874dc74218eac97040,complete R5900 structural decompile
0x00101ef0,snes_p16_00101ef0,frontend-core,medium-high,0x00105170,1,112,0,256f52ccf22c2ed9884791a2ba6a3876f29885a192379b83335a38a80885c25e,complete R5900 structural decompile
0x001029c4,snes_p16_001029c4,frontend-core,medium,0x001030b8,1,26,1,bd5c6c44750566906c45bd7725fd5d08a9d462847e4747b36b2f8093b901c988,complete short R5900 decompile; absolute-global label overlap reviewed
0x00103314,snes_p16_00103314,frontend-core,medium-high,0x0010311c,1,243,0,96cf1a1175cb0f3dac4d89e918f88d164f449f4ad87fa4e1f6b0e38c0ad6f5c1,complete R5900 structural decompile
0x00103b34,snes_p16_00103b34,frontend-core,medium-high,0x0010310c,2,28,0,deba38cacb384d868feaf3fb0ec1faabeb319707fcbb9939f9d3183f77c3af29,complete R5900 structural decompile
