address,name,source,prior_status,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,warning_categories,warning_text,pseudocode_sha256,evidence
0x00100008,_start,mapped-promotion,IDENTIFIED,startup,medium,,0,124,2,stack-pointer | global-label-overlap,This function may have set the stack pointer | Globals starting with '_' overlap smaller symbols at the same address,1499957a61d2d71aac82a68f9d0dc490c168be2b840e61e873417a6192955038,"complete R5900 structural decompile; pinned warnings: stack-pointer, global-label-overlap; existing binary-derived mapped name retained"
0x001000e0,snes_p17_001000e0,untracked-code-jal,UNTRACKED,frontend-core,medium,0x0019c5bc,2,83,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,7c01351def7a33d5fe5e011ddb2d533768d6bf9fffd83da741f058f08451a11b,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x00100114,snes_p17_00100114,untracked-code-jal,UNTRACKED,frontend-core,medium,0x00105458,1,77,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,8e42cf031476c69006c4fb8214e35da21d8c3f5d444203fe20b9cb1ce45a7443,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x00102ab0,top_level_gui,mapped-promotion,IDENTIFIED,frontend,medium,0x001051f8,1,201,1,unreachable-block,"Removing unreachable block (ram,0x00102bd0)",d244b733eb25ad52b15dae2c8c2268aeb9a77e1bcd5931aec85c4edbedb304cb,complete R5900 structural decompile; pinned warnings: unreachable-block; existing binary-derived mapped name retained
0x00104f18,main,mapped-promotion,PARTIAL,frontend,medium,0x001000d8,1,226,2,unreachable-block | intentional-infinite-loop,"Removing unreachable block (ram,0x001055ec) | Do nothing block with infinite loop",a2bc5b1bf516872630110c572f0d5e7425e8becfe5103f14d2b836ca0b0905a8,"complete R5900 structural decompile; pinned warnings: unreachable-block, intentional-infinite-loop; existing binary-derived mapped name retained"
0x00105e48,snes_p17_00105e48,untracked-code-jal,UNTRACKED,frontend-core,medium,0x00152f20,1,60,1,unreachable-block,"Removing unreachable block (ram,0x00105fb0)",8fef398c7ba6c8d781712d69f4e21f71fccce73f4bc4c1d3f7d93258334f4fab,complete R5900 structural decompile; pinned warnings: unreachable-block; address label retained because the historical symbol is unproven
0x0010b8a4,snes_p17_0010b8a4,untracked-code-jal,UNTRACKED,frontend-core,medium,0x0010d070,1,59,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,dd09d62333abbcf526adf41a2ed68865404680ded5b89d784b249abc4f25d904,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0010bbcc,snes_p17_0010bbcc,untracked-code-jal,UNTRACKED,frontend-core,medium,0x0010cc40,3,58,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,bfa2d36ff1b20668bcea01b2e8b46f0c5f1cf11d661f5ab182cc9e587ebf8079,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0010becc,snes_p17_0010becc,untracked-code-jal,UNTRACKED,frontend-core,medium,0x0010cc98,2,48,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,f5b4824c97a55609094f1fc0c3ffa24de36f3266e099811f13d1805f4595b3b8,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0010cbb0,snes_p17_0010cbb0,untracked-code-jal,UNTRACKED,frontend-core,medium,0x0010cf18,1,63,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,6a964a448546bb274552f96407b0bf01e314ddba6c9d2b3b85a4fc07a22290f3,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0010cdcc,snes_p17_0010cdcc,untracked-code-jal,UNTRACKED,frontend-core,medium,0x0010d7ac,2,52,1,unreachable-block,"Removing unreachable block (ram,0x0010cf9c)",ab490c6e05cf614600c474be8007140ae4848cdeaf21832a95ee61ffdad072c2,complete R5900 structural decompile; pinned warnings: unreachable-block; address label retained because the historical symbol is unproven
0x0010cfa4,snes_p17_0010cfa4,untracked-code-jal,UNTRACKED,frontend-core,medium,0x0010d794,1,149,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,bf3611de74f498c3d24e26d5ca4764300e9b4eaa3cd37b310560bcc41d6dc0e9,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0010d7dc,snes_p17_0010d7dc,untracked-code-jal,UNTRACKED,frontend-core,medium,0x001abae8,3,451,2,unreachable-block | global-label-overlap,"Removing unreachable block (ram,0x0010dd3c) | Globals starting with '_' overlap smaller symbols at the same address",70d817d156d1f1f954bb54e6e529a9de3d18d40fce54b875b0d4a40d3c2cd886,"complete R5900 structural decompile; pinned warnings: unreachable-block, global-label-overlap; address label retained because the historical symbol is unproven"
0x00115a18,snes_p17_00115a18,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x00115bc0,2,52,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,4b12488cdd770b465d463ebe455261b38afa06c3cbc295b453b55ef5d76db236,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x00129420,snes_p17_00129420,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x001167bc,15,64,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,b062027c33b553d9dc62eac08d295f7458549bf1c7e98003f9edb10dfc0ac37a,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x001296c4,snes_p17_001296c4,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x00122ffc,15,63,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,42a0da83b7aa2509b517af759c76e6a65abbc683d94f5b94f42ecb63de8f7233,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0012993c,snes_p17_0012993c,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x00122fb4,15,44,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,417f5cc65af2b908c742d15bcee9abc8c0145587849ec6f33b04eb09593a5f9b,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x00129af4,snes_p17_00129af4,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x0015b3c4,8,716,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,8c41c19c41c25bfd8f3264e447728b54841938bb5dd3425f77dab201dd9445a0,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0012a400,ppu_vram_cache_invalidate,mapped-promotion,IDENTIFIED,ppu,medium-high,,0,118,0,,,62265313b489d707be35c20b18e8f8c4beb511c53744f235464286b2bf9c74c6,complete R5900 structural decompile; existing binary-derived mapped name retained
0x0012c558,snes_p17_0012c558,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x0012f0c8,1,123,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,e0d24a4b7b7fd5d9f4c5307e0daa30b1c505d1484833bcce0aed246068570f2b,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0012ce18,snes_p17_0012ce18,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x0012f420,2,75,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,380b26efe121514c1751fe70b3b2da998579e4467656458bee93a2a14be16d9e,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0012d05c,snes_p17_0012d05c,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x0012f334,1,68,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,d358c30b48423f17fc825f73f012bb32cb5db06eb4cc1baaee97d4188e48fb28,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
