target,first_call_site,call_count,reason,evidence
0x00100000,0x0031fb6c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00100014,0x003112b0,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x001003b4,0x003121ac,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00100808,0x00306b1c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00100bf8,0x003083f8,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00101028,0x0030d724,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00101038,0x0030e994,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00102050,0x0030df2c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00103000,0x0031ff7c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x001050a0,0x0031a41c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00116040,0x0042375c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00117044,0x00425f88,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x0011d044,0x0042364c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x0013cbc4,0x0031661c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00140010,0x00317cdc,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x001413fc,0x0030ce94,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00141424,0x00320ce8,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00142020,0x00320850,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x0014203c,0x003208c8,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00143030,0x0031ff78,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00176814,0x0031a8b8,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x0017a398,0x00319be4,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x0017f3f4,0x00320430,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00181018,0x0030d7f8,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00181838,0x0030b0b8,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00181858,0x00319970,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00182038,0x0030ad7c,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00182850,0x0031d648,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00183878,0x002fa544,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00183ba8,0x003119d8,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00183c00,0x0031f470,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00184070,0x003201e4,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x00184124,0x0031c850,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x0018543c,0x00311cf4,1,data-only-call-site,all observed JAL-pattern words are in post-code data; no executable caller
0x001ba3bc,0x0031cc14,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001bd398,0x0031542c,2,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001be3b4,0x00302f34,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001bebc8,0x0030a8e0,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001bebd0,0x0030f530,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001bebe0,0x0031a4b4,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001bf3b8,0x0030d8a8,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001bfc1c,0x00313c90,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001c1008,0x003052f8,2,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001c1010,0x0030dee0,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001c13fc,0x002f1f2c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001c1420,0x00320f3c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001c1860,0x002fa780,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001c1c28,0x00313e28,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001c3860,0x00316364,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001f72cc,0x00316744,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x001fffe0,0x0030eed0,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00200c0c,0x003140a4,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201004,0x00305378,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201008,0x002f7e6c,4,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201034,0x00312e28,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x002013fc,0x002f193c,2,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0020140c,0x002f8a4c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x002017f8,0x00320738,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201808,0x002fa9e4,4,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0020180c,0x003055b8,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201810,0x002f8814,8,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201818,0x0030104c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201bf4,0x0030ad54,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201c10,0x002fe5dc,2,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201c14,0x0032167c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201c18,0x00314114,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201c24,0x00320438,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201c28,0x0031b7e8,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00201fe4,0x0031ebe8,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202014,0x002abb94,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202018,0x003013c8,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0020201c,0x003211d4,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202020,0x00321004,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202024,0x00320720,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202028,0x00304e78,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202038,0x003014a0,2,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x002023d8,0x00315e18,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202420,0x002fb320,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0020244c,0x00309708,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0020247c,0x0031d7d8,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202820,0x00320dc0,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202830,0x002fb360,2,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202838,0x00304e38,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202848,0x0030f04c,2,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202850,0x00301460,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00202c60,0x00319bbc,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00203020,0x002f3434,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00203860,0x0031797c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00203874,0x0030d388,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00203c6c,0x0030b28c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x002074d8,0x00317b3c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0020bcd0,0x00315ad0,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0020c0f4,0x003132b4,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00239ffc,0x00314e54,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
