address,source,prior_status,area,first_call_site,call_count,evidence
0x00100008,mapped-promotion,IDENTIFIED,startup,,0,Unpacked ELF entry
0x001000e0,untracked-code-jal,UNTRACKED,frontend-core,0x0019c5bc,2,target and first caller both inside confirmed code
0x00100114,untracked-code-jal,UNTRACKED,frontend-core,0x00105458,1,target and first caller both inside confirmed code
0x00102ab0,mapped-promotion,IDENTIFIED,frontend,0x001051f8,1,Top-level ROM selector / GUI entry from main flow
0x00104f18,mapped-promotion,PARTIAL,frontend,0x001000d8,1,Boot and top-level application flow substantially mapped
0x00105e48,untracked-code-jal,UNTRACKED,frontend-core,0x00152f20,1,target and first caller both inside confirmed code
0x0010b8a4,untracked-code-jal,UNTRACKED,frontend-core,0x0010d070,1,target and first caller both inside confirmed code
0x0010bbcc,untracked-code-jal,UNTRACKED,frontend-core,0x0010cc40,3,target and first caller both inside confirmed code
0x0010becc,untracked-code-jal,UNTRACKED,frontend-core,0x0010cc98,2,target and first caller both inside confirmed code
0x0010cbb0,untracked-code-jal,UNTRACKED,frontend-core,0x0010cf18,1,target and first caller both inside confirmed code
0x0010cdcc,untracked-code-jal,UNTRACKED,frontend-core,0x0010d7ac,2,target and first caller both inside confirmed code
0x0010cfa4,untracked-code-jal,UNTRACKED,frontend-core,0x0010d794,1,target and first caller both inside confirmed code
0x0010d7dc,untracked-code-jal,UNTRACKED,frontend-core,0x001abae8,3,target and first caller both inside confirmed code
0x00115a18,untracked-code-jal,UNTRACKED,snes-core-dsp,0x00115bc0,2,target and first caller both inside confirmed code
0x00129420,untracked-code-jal,UNTRACKED,snes-core-dsp,0x001167bc,15,target and first caller both inside confirmed code
0x001296c4,untracked-code-jal,UNTRACKED,snes-core-dsp,0x00122ffc,15,target and first caller both inside confirmed code
0x0012993c,untracked-code-jal,UNTRACKED,snes-core-dsp,0x00122fb4,15,target and first caller both inside confirmed code
0x00129af4,untracked-code-jal,UNTRACKED,snes-core-dsp,0x0015b3c4,8,target and first caller both inside confirmed code
0x0012a400,mapped-promotion,IDENTIFIED,ppu,,0,VRAM write/cache invalidation path
0x0012c558,untracked-code-jal,UNTRACKED,snes-core-dsp,0x0012f0c8,1,target and first caller both inside confirmed code
0x0012ce18,untracked-code-jal,UNTRACKED,snes-core-dsp,0x0012f420,2,target and first caller both inside confirmed code
0x0012d05c,untracked-code-jal,UNTRACKED,snes-core-dsp,0x0012f334,1,target and first caller both inside confirmed code
0x0012dc1c,untracked-code-jal,UNTRACKED,snes-core-dsp,0x0012f244,1,target and first caller both inside confirmed code
