address,source_file,evidence,notes
0x00101e8c,src/ps2/progress11_frontend_recovered.c,analysis/functions/progress16_r5900_pseudocode.c.txt,Progress 20 typed GS flush VSINT wait and swap helper migrated from committed R5900 decompile
0x00103b34,src/ps2/progress22_more_small_helpers_recovered.c,analysis/functions/progress16_r5900_pseudocode.c.txt,Progress 22 typed frontend message-slide helper migrated from committed R5900 decompile
0x00103cd4,src/ps2/progress21_small_helpers_recovered.c,analysis/functions/progress16_r5900_pseudocode.c.txt,Progress 21 typed browser TOC display-name helper migrated from committed R5900 decompile
0x00104234,src/ps2/progress22_more_small_helpers_recovered.c,analysis/functions/progress16_r5900_pseudocode.c.txt,Progress 22 typed aligned file-buffer loader migrated from committed R5900 decompile
0x001057fc,src/ps2/path_helpers_recovered.c,analysis/functions/path_config_00105750.asm,Progress 18 typed save-state path helper recovered from target call sequence
0x00105898,src/ps2/path_helpers_recovered.c,analysis/functions/path_config_00105750.asm,Progress 19 typed S9xSyncSpeed behavioral source recovered from target control flow
0x001059cc,src/ps2/path_helpers_recovered.c,analysis/functions/path_config_00105750.asm,Progress 19 typed PS2 device-aware _makepath recovered from target calls
0x00105ae8,src/ps2/path_helpers_recovered.c,analysis/functions/path_config_00105750.asm,Progress 19 typed PS2 device-aware _splitpath recovered from target calls
0x00106c08,src/ps2/progress21_small_helpers_recovered.c,analysis/functions/progress16_r5900_pseudocode.c.txt,Progress 21 typed memory-card save-state slot parser migrated from committed R5900 decompile
0x0015d334,src/ps2/progress22_more_small_helpers_recovered.c,analysis/functions/progress16_r5900_pseudocode.c.txt,Progress 22 typed PPU conditional timing helper migrated from committed R5900 decompile
0x001a7638,src/ps2/progress21_small_helpers_recovered.c,analysis/functions/progress16_r5900_pseudocode.c.txt,Progress 21 typed signed DI remainder wrapper migrated from committed R5900 decompile
