symbol	binding	section_class	size_hex	source	object
g_gs_driver	local	bss	0x0	src/app/main_bootstrap.c	app/main_bootstrap.o
g_unknown_magic	local	bss	0x0	src/app/main_bootstrap.c	app/main_bootstrap.o
main_bootstrap_recovered	global	text	0x164	src/app/main_bootstrap.c	app/main_bootstrap.o
main_after_cdvd_recovered	global	text	0x170	src/app/main_flow_recovered.c	app/main_flow_recovered.o
xor_words	local	text	0x48	src/app/main_flow_recovered.c	app/main_flow_recovered.o
leaf_relation_a	local	text	0x38	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00101814	global	text	0x2c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00101858	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00101860	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00101878	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00101880	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00101888	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001018fc	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00101904	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010190c	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00101914	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010191c	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001019a0	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00103cb0	global	text	0x1c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001041c0	global	text	0x2c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010421c	global	text	0x18	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00104e48	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00104e50	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001056b0	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001056b8	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010a768	global	text	0x1c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010a7ac	global	text	0x3c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010a7fc	global	text	0x1c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010e33c	global	text	0xc	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010e348	global	text	0xc	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0010e354	global	text	0xc	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001140e0	global	text	0x10	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00116128	global	text	0x48	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00116174	global	text	0x30	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012c13c	global	text	0x20	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012c160	global	text	0x28	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012de60	global	text	0x50	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012deb0	global	text	0x50	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012df50	global	text	0xbc	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012dfb0	global	text	0x44	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012dffc	global	text	0x4c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012e2c4	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012e2d0	global	text	0xc	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012e568	global	text	0x48	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012fe5c	global	text	0x38	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012fe9c	global	text	0x10	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012feb4	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0012febc	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00148338	global	text	0x5c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00150c90	global	text	0x48	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001535c0	global	text	0x34	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00156884	global	text	0x24	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001568c4	global	text	0x1c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00156914	global	text	0x1c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00158b3c	global	text	0x20	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00158b5c	global	text	0x18	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00158fd0	global	text	0xc	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00158fdc	global	text	0x14	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0015e190	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0016fcd4	global	text	0x34	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001701fc	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00171de8	global	text	0x24	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00173dfc	global	text	0x54	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00173e4c	global	text	0x1c	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00174204	global	text	0x28	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_001742e8	global	text	0xc	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00174720	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00174860	global	text	0x14	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0017487c	global	text	0xc	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0017ec24	global	text	0x30	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_0018339c	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00183660	global	text	0x10	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
snes_leaf_00193290	global	text	0x8	src/ps2/address_leaf_recovered.c	ps2/address_leaf_recovered.o
SjPCM_Quit_001077f8	global	text	0x2c	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
SjPCM_Setvol_001078f8	global	text	0x30	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
amigaModGetPosition_00107e14	global	text	0x2c	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
amigaModInit_00107b1c	global	text	0x30	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
amigaModLoad_00107c64	global	text	0x3c	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
amigaModPause_00107b7c	global	text	0x30	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
amigaModPlay_00107d44	global	text	0x30	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
amigaModQuit_00107f18	global	text	0x2c	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
amigaModSetVolume_00107db4	global	text	0x30	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
call	local	text	0x50	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
is_sram_extension_00106bcc	global	text	0x3c	src/ps2/audio_rpc_recovered.c	ps2/audio_rpc_recovered.o
CDVD_DiskReady_0019bf00	global	text	0x6c	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
CDVD_FindFile_0019bf70	global	text	0xa0	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
CDVD_FlushCache_0019c2ac	global	text	0x58	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
CDVD_GetSize_0019c304	global	text	0x60	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
CDVD_Init_0019be70	global	text	0x90	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
CDVD_Stop_0019c0d0	global	text	0x58	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
CDVD_TrayReq_0019c128	global	text	0x68	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
CDVD_getdir_0019c190	global	text	0x118	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
cd0_recovered	local	bss	0x0	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
cdvd_inited_recovered	global	data	0x4	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
sbuff_recovered	local	bss	0x0	src/ps2/cdvd_rpc_historical_recovered.c	ps2/cdvd_rpc_historical_recovered.o
snes_operator_delete	global	text	0x30	src/ps2/cpp_runtime_recovered.c	ps2/cpp_runtime_recovered.o
snes_operator_delete_array	global	text	0x1c	src/ps2/cpp_runtime_recovered.c	ps2/cpp_runtime_recovered.o
snes_operator_new_array	global	text	0x30	src/ps2/cpp_runtime_recovered.c	ps2/cpp_runtime_recovered.o
snes_set_terminate	global	text	0xc	src/ps2/cpp_runtime_recovered.c	ps2/cpp_runtime_recovered.o
snes_set_unexpected	global	text	0xc	src/ps2/cpp_runtime_recovered.c	ps2/cpp_runtime_recovered.o
snes_std_terminate	global	text	0x20	src/ps2/cpp_runtime_recovered.c	ps2/cpp_runtime_recovered.o
snes_std_unexpected	global	text	0x20	src/ps2/cpp_runtime_recovered.c	ps2/cpp_runtime_recovered.o
snes_unexpected_core	global	text	0x3c	src/ps2/cpp_runtime_recovered.c	ps2/cpp_runtime_recovered.o
SyncDCache_001ab3c0	global	text	0xb4	src/ps2/ee_cache_recovered.c	ps2/ee_cache_recovered.o
iSyncDCache_001ab440	global	text	0xec	src/ps2/ee_cache_recovered.c	ps2/ee_cache_recovered.o
fioClose_0019d090	global	text	0x90	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fioGets_0019d558	global	text	0xa8	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fioLseek_0019d360	global	text	0xb0	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fioMkdir_0019d410	global	text	0xa0	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fioOpen_0019cfc0	global	text	0xd0	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fioPutc_0019d534	global	text	0x24	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fioRead_0019d120	global	text	0x128	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fioWrite_0019d244	global	text	0x128	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fio_intr_data_recovered	local	bss	0x0	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fio_intr_recovered	local	text	0x20	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fio_read_intr_0019d4b0	global	text	0x90	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
fio_recv_data_recovered	local	bss	0x0	src/ps2/fileio_recovered.c	ps2/fileio_recovered.o
remove_list	local	text	0x44	src/ps2/gcc_fde_runtime_recovered.c	ps2/gcc_fde_runtime_recovered.o
