order	source	subsystem	language	link_role	object	replaces	rationale
001	src/app/main_bootstrap.c	app	c	canonical	app/main_bootstrap.o		Canonical recovered translation unit.
002	src/app/main_flow_recovered.c	app	c	canonical	app/main_flow_recovered.o		Canonical recovered translation unit.
003	src/ps2/address_leaf_recovered.c	ps2	c	canonical	ps2/address_leaf_recovered.o		Canonical recovered translation unit.
004	src/ps2/audio_rpc_recovered.c	ps2	c	canonical	ps2/audio_rpc_recovered.o		Canonical recovered translation unit.
005	src/ps2/cdvd_rpc_historical_recovered.c	ps2	c	canonical	ps2/cdvd_rpc_historical_recovered.o		Canonical recovered translation unit.
006	src/ps2/cdvd_rpc_recovered.c	ps2	c	alternate	ps2/cdvd_rpc_recovered.o	src/ps2/cdvd_rpc_historical_recovered.c	Readable alternate retained as evidence; historical recovered unit owns the canonical CDVD exports.
007	src/ps2/cpp_runtime_recovered.c	ps2	c	canonical	ps2/cpp_runtime_recovered.o		Canonical recovered translation unit.
008	src/ps2/ee_cache_recovered.c	ps2	c	canonical	ps2/ee_cache_recovered.o		Canonical recovered translation unit.
009	src/ps2/fileio_recovered.c	ps2	c	canonical	ps2/fileio_recovered.o		Canonical recovered translation unit.
010	src/ps2/gcc_fde_runtime_recovered.c	ps2	c	canonical	ps2/gcc_fde_runtime_recovered.o		Canonical recovered translation unit.
011	src/ps2/gcc_unwind_pe_recovered.c	ps2	c	canonical	ps2/gcc_unwind_pe_recovered.o		Canonical recovered translation unit.
012	src/ps2/gs_buffer_recovered.c	ps2	c	canonical	ps2/gs_buffer_recovered.o		Canonical recovered translation unit.
013	src/ps2/gs_fifo_recovered.c	ps2	c	canonical	ps2/gs_fifo_recovered.o		Canonical recovered translation unit.
014	src/ps2/gsdriver_recovered.c	ps2	c	canonical	ps2/gsdriver_recovered.o		Canonical recovered translation unit.
015	src/ps2/gsfont_recovered.c	ps2	c	canonical	ps2/gsfont_recovered.o		Canonical recovered translation unit.
016	src/ps2/gslib_hw_recovered.c	ps2	c	canonical	ps2/gslib_hw_recovered.o		Canonical recovered translation unit.
017	src/ps2/gspipe_recovered.c	ps2	c	canonical	ps2/gspipe_recovered.o		Canonical recovered translation unit.
018	src/ps2/libc_misc_recovered.c	ps2	c	canonical	ps2/libc_misc_recovered.o		Canonical recovered translation unit.
019	src/ps2/libc_text_recovered.c	ps2	c	canonical	ps2/libc_text_recovered.o		Canonical recovered translation unit.
020	src/ps2/libgcc_runtime_recovered.c	ps2	c	canonical	ps2/libgcc_runtime_recovered.o		Canonical recovered translation unit.
021	src/ps2/libkernel_client_init_recovered.c	ps2	c	canonical	ps2/libkernel_client_init_recovered.o		Canonical recovered translation unit.
022	src/ps2/libkernel_heap_recovered.c	ps2	c	canonical	ps2/libkernel_heap_recovered.o		Canonical recovered translation unit.
023	src/ps2/libkernel_heap_runtime_recovered.c	ps2	c	canonical	ps2/libkernel_heap_runtime_recovered.o		Canonical recovered translation unit.
024	src/ps2/libkernel_leaf_recovered.c	ps2	c	canonical	ps2/libkernel_leaf_recovered.o		Canonical recovered translation unit.
025	src/ps2/libkernel_strings_recovered.c	ps2	c	canonical	ps2/libkernel_strings_recovered.o		Canonical recovered translation unit.
026	src/ps2/libmc_recovered.c	ps2	c	canonical	ps2/libmc_recovered.o		Canonical recovered translation unit.
027	src/ps2/libmtap_recovered.c	ps2	c	canonical	ps2/libmtap_recovered.o		Canonical recovered translation unit.
028	src/ps2/libpad_recovered.c	ps2	c	canonical	ps2/libpad_recovered.o		Canonical recovered translation unit.
029	src/ps2/libsupcxx_rtti_recovered.c	ps2	c	canonical	ps2/libsupcxx_rtti_recovered.o		Canonical recovered translation unit.
030	src/ps2/load_module_buffer.c	ps2	c	canonical	ps2/load_module_buffer.o		Canonical recovered translation unit.
