pc,register,string_address,instruction,string
0x0010084c,$a1,0x001b0880,move,%02d/%02d
0x00100f44,$t3,0x001b0890,addiu,Use the DPad to centre the screen
0x001012c4,$t3,0x001b08d8,lui,Not enough space on
0x001013c4,$t3,0x001b0910,lui,No Save State
0x001014ac,$t3,0x001b0930,lui,Not enough space on
0x00101594,$t3,0x001b0968,lui,No SRAM Save
0x001016a0,$t3,0x001b09a0,lui,Continue
0x001016e0,$t3,0x001b09b0,lui,Save Game State
0x00101728,$t3,0x001b09c0,lui,Load Game State
0x00101780,$t3,0x001b09d0,lui,Save Game SRAM
0x001017bc,$t3,0x001b09e0,lui,Load Game SRAM
0x001017e4,$t3,0x001b09f0,lui,Calibrate Screen
0x001019f0,$t3,0x001b0a08,lw,Quit
0x00102b48,$t3,0x001b0a58,addiu,Please Change CD
0x00102c18,$t3,0x001b0a78,lui,Don't screw with my code  !
0x00102d30,$t3,0x001b0ac0,sll,Press Triangle for Options
0x001031f4,$a0,0x001b0b18,mfc1,Exited nested gui loop
0x00103270,$a0,0x001b0b38,mfc1,"Exited top level gui loop, since selected a file"
0x00103290,$a0,0x001b0b70,lw,Got full rom pathname
0x001032e0,$a0,0x001b0b88,addiu,Free'd the tocEntryList
0x00103440,$t3,0x001b0bc0,lui,Sound On/Off:
0x00103544,$t3,0x001b0be0,lui,Sound Mono/Stereo:
0x00103570,$t3,0x001b0c00,addiu,Mono
0x001035b8,$t3,0x001b0c08,lui,Sound Frequency:
0x001035e4,$t3,0x001b0c20,lui,24KHz
0x00103610,$t3,0x001b0c30,lui,12KHz
0x0010363c,$t3,0x001b0c38,addiu,Unknown
0x001036b0,$t3,0x001b0c40,lui,Alt Sound Decode:
0x001036ec,$t3,0x001b0c58,lui,Display Framerate:
0x00103760,$t3,0x001b0c80,lui,Display Mode:
0x001037c8,$t3,0x001b0ca0,addiu,AUTO
0x00103810,$t3,0x001b0ca8,lui,Calibrate Screen
0x00103840,$t3,0x001b0cc0,lui,MC Saves Manager
0x00103878,$t3,0x001b0cd8,lui,SNES Shoulders:
0x001038a4,$t3,0x001b0cf0,addiu,L2 & R2
0x001038f8,$t3,0x001b0cf8,lui,In-Game Menu:
0x00103924,$t3,0x001b0d10,addiu,L1 + R1
0x00103c00,$t3,0x001b0d18,move,Exit
0x00103cc0,$a1,0x001b0d78,addu,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103cf8,$a1,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103cfc,$a1,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d10,$a1,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d14,$s2,0x001b0d78,sb,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d2c,$a0,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d2c,$s2,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d30,$a0,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d30,$s2,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d48,$a0,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d48,$s2,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d64,$s2,0x001b0d78,ld,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103d8c,$a0,0x001b0d78,move,.ZIP .SMC .SFC .SWC .FIG .058 .BIN
0x00103e58,$a1,0x001b0da0,move,cdfs:%s/%s
0x0010441c,$a1,0x001b0df8,move,DEFAULT
0x00104424,$a1,0x001b0df8,lui,DEFAULT
0x00104440,$v0,0x001b0df8,move,DEFAULT
0x0010445c,$a1,0x001b0e00,lw,[%s]
0x00104468,$v0,0x001b0df8,slti,DEFAULT
0x0010467c,$a2,0x001b0df8,move,DEFAULT
0x00104680,$a2,0x001b0df8,move,DEFAULT
0x00104690,$a1,0x001b0e00,lw,[%s]
0x00104730,$s2,0x001b0df8,ld,DEFAULT
0x001047d4,$a1,0x001b0e00,lw,[%s]
0x00104f6c,$a0,0x001b0e38,move,rom0:UDNL rom0:EELOADCNF
0x00104f94,$a0,0x001b0e58,lui,rom0:XSIO2MAN
0x00104fa8,$a0,0x001b0e68,lui,rom0:XPADMAN
0x00104fbc,$a0,0x001b0e78,lui,rom0:XMTAPMAN
0x00104fd0,$a0,0x001b0e88,lui,rom0:XMCMAN
0x00104fe8,$a0,0x001b0e98,addiu,rom0:XMCSERV
0x0010500c,$a0,0x001b0ea8,lui,rom0:LIBSD
0x001051ac,$a2,0x001b0ec0,move,/SNES_EMU/snes.opt
0x00105230,$a0,0x001b0ed8,addiu,Returned from GUI
0x00105360,$a0,0x001b0ef0,move,Failed to Init Memory & APU
0x0010559c,$a3,0x001b0f20,sb,Snes9x
0x001055a0,$a1,0x001b0f10,lbu,"""%s"" %s: %s"
0x001055b0,$a3,0x001b0f20,sb,Snes9x
0x0010562c,$a3,0x001b0f20,addiu,Snes9x
0x00105670,$a0,0x001b0f30,move,Memory.LoadROM returned FALSE
0x0010569c,$a0,0x001b0f50,move,Failed to initialise memcard !
0x001056a4,$a0,0x001b0f50,move,Failed to initialise memcard !
0x001056ac,$s0,0x001b0f50,move,Failed to initialise memcard !
0x001056e8,$s0,0x001b0f50,sd,Failed to initialise memcard !
0x001056f0,$s0,0x001b0f50,lui,Failed to initialise memcard !
0x00105700,$a0,0x001b0f50,move,Failed to initialise memcard !
0x0010571c,$a1,0x001b0f70,lui,cdrom0:\ROMS
0x00105754,$t0,0x001b0f28,lui,1.41
0x00105764,$a1,0x001b0f80,lui,cdrom0:\ROMS\SNAP
0x001057b8,$v1,0x001b0f98,lhu,mc0:SNES_EMU/
0x001057c0,$v1,0x001b0f98,lw,mc0:SNES_EMU/
0x00105808,$a1,0x001b0fa8,lui,.SRM
0x001058b4,$v1,0x001b0f98,ori,mc0:SNES_EMU/
0x001058bc,$a1,0x001b0fb0,lui,mc0:SNES_EMU/%s.%03d
0x00105ec4,$a1,0x001b0fd0,lui,Star Ocean
0x00105ee4,$a1,0x001b0ff0,move,\socnsdd1
0x00105f04,$a1,0x001b1000,move,\SDD1GFX.IDX
0x00105f18,$a1,0x001b1010,addiu,\SDD1GFX.DAT
0x00106148,$a1,0x001b1020,move,mc0:SNES_EMU/SNES.INI
0x00106148,$s0,0x001b1038,move,SOUND SETTINGS
0x00106160,$a2,0x001b1048,lui,ENABLE
0x00106168,$a1,0x001b1038,move,SOUND SETTINGS
0x00106168,$s0,0x001b1038,move,SOUND SETTINGS
0x00106184,$a2,0x001b1050,lui,STEREO
0x0010618c,$a1,0x001b1038,move,SOUND SETTINGS
0x0010618c,$s0,0x001b1038,move,SOUND SETTINGS
0x001061a8,$a2,0x001b1058,lui,RATE
0x001061ac,$a1,0x001b1038,move,SOUND SETTINGS
0x001061ac,$s0,0x001b1038,move,SOUND SETTINGS
0x001061cc,$a1,0x001b1038,lui,SOUND SETTINGS
0x001061d0,$a2,0x001b1060,lui,ALT DECODE
0x001061f4,$a2,0x001b1080,lui,SHOULDERS
0x001061f8,$s0,0x001b1038,addiu,SOUND SETTINGS
0x00106204,$a1,0x001b1070,move,PAD SETTINGS
0x00106204,$s0,0x001b1090,move,DISPLAY SETTINGS
0x00106218,$a2,0x001b10a8,lui,SHOW FRAMERATE
0x00106220,$a1,0x001b1090,move,DISPLAY SETTINGS
0x00106220,$s0,0x001b1090,move,DISPLAY SETTINGS
0x00106238,$a2,0x001b10b8,lui,SCREEN MODE
0x00106240,$a1,0x001b1090,move,DISPLAY SETTINGS
0x00106240,$s0,0x001b1090,move,DISPLAY SETTINGS
0x00106258,$a2,0x001b10c8,lui,GUI_X_POS
0x00106260,$a1,0x001b1090,move,DISPLAY SETTINGS
0x00106260,$s0,0x001b1090,move,DISPLAY SETTINGS
0x00106278,$a2,0x001b10d8,lui,GUI_Y_POS
0x00106280,$a1,0x001b1090,move,DISPLAY SETTINGS
0x00106280,$s0,0x001b1090,move,DISPLAY SETTINGS
0x00106298,$a2,0x001b10e8,lui,PAL_X_POS
0x001062a0,$a1,0x001b1090,move,DISPLAY SETTINGS
0x001062a0,$s0,0x001b1090,move,DISPLAY SETTINGS
0x001062b8,$a2,0x001b10f8,lui,PAL_Y_POS
0x001062c0,$a1,0x001b1090,move,DISPLAY SETTINGS
0x001062c0,$s0,0x001b1090,move,DISPLAY SETTINGS
0x001062d8,$a2,0x001b1108,lui,NTSC_X_POS
0x001062dc,$a1,0x001b1090,move,DISPLAY SETTINGS
0x001062dc,$s0,0x001b1090,move,DISPLAY SETTINGS
0x001062f8,$a1,0x001b1090,move,DISPLAY SETTINGS
0x00106300,$a2,0x001b1118,addiu,NTSC_Y_POS
0x001064ac,$s0,0x001b1090,move,DISPLAY SETTINGS
0x00106528,$a0,0x001b1020,move,mc0:SNES_EMU/SNES.INI
0x00106528,$s0,0x001b1128,move,[SOUND SETTINGS]
0x00106534,$s0,0x001b1128,move,[SOUND SETTINGS]
0x00106538,$a0,0x001b1128,move,[SOUND SETTINGS]
0x00106544,$s0,0x001b1128,lui,[SOUND SETTINGS]
0x0010654c,$a1,0x001b1128,lui,[SOUND SETTINGS]
0x0010656c,$a1,0x001b1158,move,ENABLE = %d
0x00106598,$a1,0x001b1168,move,STEREO = %d
0x001065c4,$a1,0x001b1178,move,RATE = %d
0x001065f0,$a1,0x001b1188,move,ALT DECODE = %d
0x0010661c,$s0,0x001b1148,move,[PAD SETTINGS]
0x00106620,$s0,0x001b1148,move,[PAD SETTINGS]
0x00106624,$a0,0x001b1148,move,[PAD SETTINGS]
0x00106630,$s0,0x001b1148,lui,[PAD SETTINGS]
0x00106638,$a1,0x001b1148,lui,[PAD SETTINGS]
0x00106654,$a1,0x001b11b8,move,SHOULDERS = %d
0x00106680,$s0,0x001b11a0,move,[DISPLAY SETTINGS]
0x00106684,$s0,0x001b11a0,move,[DISPLAY SETTINGS]
0x00106688,$a0,0x001b11a0,move,[DISPLAY SETTINGS]
0x00106694,$a1,0x001b11a0,lui,[DISPLAY SETTINGS]
0x001066b0,$a1,0x001b11c8,move,SHOW FRAMERATE = %d
0x001066dc,$a1,0x001b11e0,move,SCREEN MODE = %d
0x00106708,$a1,0x001b11f8,move,GUI_X_POS = %d
0x00106734,$a1,0x001b1208,move,GUI_Y_POS = %d
0x00106760,$a1,0x001b1218,move,PAL_X_POS = %d
0x0010678c,$a1,0x001b1228,move,PAL_Y_POS = %d
0x001067b8,$a1,0x001b1238,move,NTSC_X_POS = %d
0x001067e4,$a1,0x001b1250,move,NTSC_Y_POS = %d
0x00106838,$s0,0x001b11a0,sd,[DISPLAY SETTINGS]
0x0010683c,$s0,0x001b11a0,addiu,[DISPLAY SETTINGS]
0x001068e0,$a2,0x001b1268,addiu,SNES_EMU
0x001069cc,$t3,0x001b0db0,lui,Use the DPad to centre the screen
0x00106a14,$t3,0x001b1278,lui,No PS2 Memory Card present in Slot A
0x00106a4c,$t3,0x001b12a0,lui,Please insert a PS2 memory card
0x00106b20,$a2,0x001b1268,addiu,SNES_EMU
0x00106b58,$t3,0x001b12e0,lui,or press triangle to
0x00106b98,$t3,0x001b1310,lui,Memory Card in Slot A has less than 100KB free
0x00106d1c,$a2,0x001b1350,addiu,SNES_EMU/*.SRM
0x00106d64,$a2,0x001b1360,addiu,SNES_EMU/*.00?
0x00106f2c,$t3,0x001b1370,move,SRAM
0x00106f38,$a1,0x001b1378,addiu,%dKB
0x00106ff4,$t3,0x001b1380,move,Press Square to delete save
0x00107008,$a1,0x001b13c0,addiu,State #%d
0x001071e0,$t3,0x001b13d0,lui,No Game Saves found on memory card
0x001072d8,$a1,0x001b1458,move,SNES_EMU/%s
0x0010738c,$s1,0x001b1488,move,mc0:SNES_EMU/icon.sys
0x001073a4,$a0,0x001b1488,move,mc0:SNES_EMU/icon.sys
0x001073c0,$s1,0x001b1488,move,mc0:SNES_EMU/icon.sys
0x001073d8,$s1,0x001b1488,lui,mc0:SNES_EMU/icon.sys
0x001073e8,$a0,0x001b1488,move,mc0:SNES_EMU/icon.sys
0x001074b8,$a1,0x001b14c0,lui,SNES Station
0x001074d4,$a1,0x001b14d0,move,snes_emu.ico
0x0010750c,$s1,0x001b14a0,move,mc0:SNES_EMU/snes_emu.ico
0x0010751c,$a0,0x001b14a0,move,mc0:SNES_EMU/snes_emu.ico
0x00107530,$s1,0x001b14a0,ld,mc0:SNES_EMU/snes_emu.ico
0x001075ac,$t3,0x001b13f8,sd,Are you sure you want to delete this save ?
0x00107678,$t3,0x001b13f8,move,Are you sure you want to delete this save ?
0x00107c1c,$v1,0x001b14e0,move,amigaModInit !
0x0010b0f4,$a0,0x001b14f0,move,.spc
0x0010e348,$v0,0x001b1b98,lui,Invalid Pro Action Replay code - should be 8 hex digits in length.
0x0010e354,$v0,0x001b1be0,lui,Invalid Gold Finger code.
0x0010e3f4,$v0,0x001b1c00,lui,Invalid Game Genie(tm) code - should be 'xxxx-xxxx'.
0x00113ff4,$a0,0x001b1c38,andi,WRAM: %05x: %02x
0x0011404c,$a0,0x001b1c50,andi,SRAM: %04x: %02x
0x001140f0,$a0,0x001b1c68,lw,IRAM: %05x: %02x
0x0012fb60,$a0,0x001b2420,lw,Op%02X
0x0012fb68,$a0,0x001b2420,addu,Op%02X
0x0012fb6c,$a0,0x001b2420,sw,Op%02X
0x0012fb7c,$a0,0x001b2420,andi,Op%02X
0x0012fd1c,$a1,0x001b2ca0,lui,%02x:%04x %02x       
0x0012fd3c,$a1,0x001b2cb8,move,%02x %02x 
0x0012fdb4,$a1,0x001b2cc8,lui,"moves r%d,r%d"
