SNES Station v0.23 — recovered zlib 1.1.3 map

Buffer API / deflate
00190700 compress2
001907cc compress
001907e8 uncompress
001908bc deflateInit_
001908ec deflateInit2_
00190bb4 deflateSetDictionary
00190d10 deflateReset
00190dc0 deflateParams
00190ec8 putShortMSB
00190ef8 flush_pending
00190fa0 deflate
00191308 deflateEnd
00191400 deflateCopy
0019165c read_buf
0019170c lm_init
001917b0 longest_match
001919a4 fill_window
00191b64 deflate_stored
00191d4c deflate_fast
001921a8 deflate_slow

Inflate interface / checksum
0019272c inflateReset
00192784 inflateEnd
00192800 inflateInit2_
00192948 inflateInit_
0019296c inflate
00192e60 inflateSetDictionary
00192f30 inflateSync
0019304c inflateSyncPoint
00193094 get_crc_table
001930a0 crc32

Inflate block / Huffman decoder
00194628 inflate_blocks_reset
001946e8 inflate_blocks_new
001947d0 inflate_blocks
00195280 inflate_blocks_free
001952e8 inflate_set_dictionary
0019532c inflate_blocks_sync_point
0019533c inflate_codes_new
001953ac inflate_codes
00195b10 inflate_codes_free
00195b40 inflate_fast
00195f80 huft_build
001964d4 inflate_trees_bits
001965d4 inflate_trees_dynamic
001967b0 inflate_trees_fixed
001967e8 inflate_flush

Deflate Huffman writer / bit output
00196980 tr_static_init
00196988 _tr_init
00196a00 init_block
00196a94 pqdownheap
00196b98 gen_bitlen
00196e80 gen_codes
00196f24 build_tree
001971ec scan_tree
001972f4 send_tree
00197874 build_bl_tree
00197910 send_all_trees
00197bf4 _tr_stored_block
00197cb0 _tr_align
00197f64 _tr_flush_block
001981e8 _tr_tally
00198308 compress_block
0019879c set_data_type
00198840 bi_reverse
0019886c bi_flush
00198904 bi_windup
0019897c copy_block

zutil / Adler tail
00198a58 zlibVersion
00198a64 zError
00198a84 zcalloc
00198aa4 zcfree
00198ac0 adler32

00198c54  last return of adler32
00198c58  next module begins: PS2 GS/video setup (not zlib)
